Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Industries,Organization Location,Organization Revenue Range,Number of Funding Rounds,Funding Status
Series C - Abra,https://www.crunchbase.com/funding_round/abra-series-c--9c037cd4,Abra,https://www.crunchbase.com/organization/abra,Series C,12000000,USD,12000000,2019-04-01,"Bitcoin, Financial Services, Peer to Peer, Transaction Processing","Mountain View, California, United States, North America",$1M to $10M,9,Late Stage Venture
Series B - Tibit Communications,https://www.crunchbase.com/funding_round/tibit-communications-series-b--51f5ce93,Tibit Communications,https://www.crunchbase.com/organization/tibit-communications,Series B,25000000,USD,25000000,2019-04-01,"Information Technology, Software, Telecommunications","Petaluma, California, United States, North America",Less than $1M,4,Early Stage Venture
Venture Round - NEAR Protocol,https://www.crunchbase.com/funding_round/near-0565-series-unknown--5f741336,NEAR Protocol,https://www.crunchbase.com/organization/near-0565,Venture - Series Unknown,,,,2019-04-01,"Blockchain, Information Technology, Software","San Francisco, California, United States, North America",$1M to $10M,2,Early Stage Venture
Pre Seed Round - Helios,https://www.crunchbase.com/funding_round/helios-pre-seed--6c92799b,Helios,https://www.crunchbase.com/organization/helios,Pre-Seed,,,,2019-04-01,"Computer, GPS, Hardware, Information Technology","San Francisco, California, United States, North America",,4,Seed
Seed Round - Zeal,https://www.crunchbase.com/funding_round/zealdocs-seed--bed9293c,Zeal,https://www.crunchbase.com/organization/zealdocs,Seed,,,,2019-04-01,"Artificial Intelligence, Contact Management, Information Technology, SaaS","San Francisco, California, United States, North America",,1,Seed
Venture Round - airVet,https://www.crunchbase.com/funding_round/airvet-series-unknown--e169091b,airVet,https://www.crunchbase.com/organization/airvet,Venture - Series Unknown,,,,2019-04-01,"Health Care, Mobile Apps, Pet, Veterinary, Wellness","Los Angeles, California, United States, North America",,1,
Pre Seed Round - Health Note,https://www.crunchbase.com/funding_round/health-note-pre-seed--5f349cb6,Health Note,https://www.crunchbase.com/organization/health-note,Pre-Seed,,,,2019-04-01,"Artificial Intelligence, Health Care","San Francisco, California, United States, North America",,2,Seed
Pre Seed Round - QuayChain,https://www.crunchbase.com/funding_round/quaychain-pre-seed--af86c354,QuayChain,https://www.crunchbase.com/organization/quaychain,Pre-Seed,350000,USD,350000,2019-04-01,"Industrial, Information Technology, Wireless","Los Angeles, California, United States, North America",,2,Seed
Series B - Figure,https://www.crunchbase.com/funding_round/figure-66e9-series-b--1b185bc1,Figure,https://www.crunchbase.com/organization/figure-66e9,Series B,,,,2019-04-01,"Artificial Intelligence, Blockchain, Finance, Financial Services, FinTech","San Francisco, California, United States, North America",$10M to $50M,11,Late Stage Venture
Seed Round - WLNSS.,https://www.crunchbase.com/funding_round/wlnss-seed--e51a5455,WLNSS.,https://www.crunchbase.com/organization/wlnss,Seed,,,,2019-04-01,"Beauty, Health Care, Mobile, Wellness","Los Angeles, California, United States, North America",,1,Seed
Seed Round - Blume,https://www.crunchbase.com/funding_round/ellebox-seed--b3cfeda8,Blume,https://www.crunchbase.com/organization/ellebox,Seed,,,,2019-04-01,"Health Care, Personal Health, Subscription Service, Women's","Mountain View, California, United States, North America",,3,Seed
Funding Round - TomoCredit,https://www.crunchbase.com/funding_round/tomocredit-undisclosed--27909633,TomoCredit,https://www.crunchbase.com/organization/tomocredit,Funding Round,,,,2019-04-01,"Blockchain, Credit, Credit Cards, Cryptocurrency, FinTech, Personal Finance","San Francisco, California, United States, North America",,3,Seed
Venture Round - Qolibri,https://www.crunchbase.com/funding_round/qolibri-series-unknown--a11354d6,Qolibri,https://www.crunchbase.com/organization/qolibri,Venture - Series Unknown,,,,2019-04-01,"Electronics, Information Technology, Robotics","Roseville, California, United States, North America",,1,
Post-IPO Equity - Evofem Biosciences,https://www.crunchbase.com/funding_round/evofem-biosciences-post-ipo-equity--eedb822e,Evofem Biosciences,https://www.crunchbase.com/organization/evofem-biosciences,Post-IPO Equity,30000000,USD,30000000,2019-04-01,"Biopharma, Biotechnology, Health Care, Medical, Women's","San Diego, California, United States, North America",$1M to $10M,9,IPO
Series B - BitGo,https://www.crunchbase.com/funding_round/bitgo-series-b--c4b02427,BitGo,https://www.crunchbase.com/organization/bitgo,Series B,,,,2019-04-01,"Bitcoin, Cryptocurrency, Financial Services, Virtual Currency","Palo Alto, California, United States, North America",Less than $1M,5,Early Stage Venture
Pre Seed Round - Midnight,https://www.crunchbase.com/funding_round/midnight-electric-pre-seed--b5688c19,Midnight,https://www.crunchbase.com/organization/midnight-electric,Pre-Seed,,,,2019-04-01,"Information Technology, Software","Los Angeles, California, United States, North America",,1,Seed
Pre Seed Round - Elva,https://www.crunchbase.com/funding_round/getelva-pre-seed--e26d9a3c,Elva,https://www.crunchbase.com/organization/getelva,Pre-Seed,100000,USD,100000,2019-04-01,"Consumer Electronics, Health Care, Home Health Care, Wearables","San Francisco, California, United States, North America",Less than $1M,5,Seed
Pre Seed Round - Popvue,https://www.crunchbase.com/funding_round/popvue-2-pre-seed--f755afaf,Popvue,https://www.crunchbase.com/organization/popvue-2,Pre-Seed,,,,2019-04-01,"Advertising Platforms, Augmented Reality, Blockchain, Event Management, Information Technology, Meeting Software, Messaging, Mobile Advertising, Professional Networking, Social Network, Virtual Reality","San Francisco, California, United States, North America",$1M to $10M,1,Seed
Seed Round - Edyza,https://www.crunchbase.com/funding_round/edyza-seed--b25ce8dd,Edyza,https://www.crunchbase.com/organization/edyza,Seed,320000,USD,320000,2019-04-01,"AgTech, Artificial Intelligence, Augmented Reality, Big Data, Computer, Industrial Automation, Information Technology, Internet of Things, Sensor, Smart Cities, Wireless","Irvine, California, United States, North America",$1M to $10M,5,Seed
"Pre Seed Round - Privapp, Inc.",https://www.crunchbase.com/funding_round/privapp-inc-pre-seed--1a85adcf,"Privapp, Inc.",https://www.crunchbase.com/organization/privapp-inc,Pre-Seed,2000000,USD,2000000,2019-04-01,"FinTech, Health Care, Information Technology, Internet, Software","San Francisco, California, United States, North America",,1,Seed
Series A - NextGen Jane,https://www.crunchbase.com/funding_round/nextgen-jane-series-a--2495b457,NextGen Jane,https://www.crunchbase.com/organization/nextgen-jane,Series A,9000000,USD,9000000,2019-04-01,"Biotechnology, Health Care, Medical","Oakland, California, United States, North America",$1M to $10M,3,Early Stage Venture
Series A - Tioga Medical,https://www.crunchbase.com/funding_round/tioga-medical-series-a--b7896451,Tioga Medical,https://www.crunchbase.com/organization/tioga-medical,Series A,14614998,USD,14614998,2019-04-01,"Health Care, Medical Device","Campbell, California, United States, North America",,1,Early Stage Venture
Seed Round - Wootcloud,https://www.crunchbase.com/funding_round/wootcloud-seed--f392aa7d,Wootcloud,https://www.crunchbase.com/organization/wootcloud,Seed,3600000,USD,3600000,2019-04-01,"Cyber Security, Information Technology, Network Security, Security","San Jose, California, United States, North America",$1M to $10M,2,Seed
Series A - Productiv,https://www.crunchbase.com/funding_round/productiv-ai-series-a--7695a55e,Productiv,https://www.crunchbase.com/organization/productiv-ai,Series A,8000000,USD,8000000,2019-04-01,"Analytics, Application Performance Management, Information Technology, SaaS","Palo Alto, California, United States, North America",$10M to $50M,2,Early Stage Venture
Series A - Jio Health,https://www.crunchbase.com/funding_round/jio-health-series-a--c0a49b45,Jio Health,https://www.crunchbase.com/organization/jio-health,Series A,5000000,USD,5000000,2019-04-01,"Fitness, Health Care, Wellness","Irvine, California, United States, North America",$1M to $10M,2,Early Stage Venture
Seed Round - Deel,https://www.crunchbase.com/funding_round/deel-seed--1b70bf10,Deel,https://www.crunchbase.com/organization/deel,Seed,,,,2019-04-02,"Consumer, Financial Services, Freelance, Payments, Software","San Francisco, California, United States, North America",,3,Seed
Seed Round - Blume,https://www.crunchbase.com/funding_round/ellebox-seed--f9df3d8f,Blume,https://www.crunchbase.com/organization/ellebox,Seed,3300000,USD,3300000,2019-04-02,"Health Care, Personal Health, Subscription Service, Women's","Mountain View, California, United States, North America",,3,Seed
Venture Round - Celo,https://www.crunchbase.com/funding_round/celo-3846-series-unknown--8a1d1571,Celo,https://www.crunchbase.com/organization/celo-3846,Venture - Series Unknown,30000000,USD,30000000,2019-04-02,"Blockchain, Finance, Payments","San Francisco, California, United States, North America",$1M to $10M,2,
Series H - Bill.com,https://www.crunchbase.com/funding_round/bill-com-series-h--9fcf790b,Bill.com,https://www.crunchbase.com/organization/bill-com,Series H,88100000,USD,88100000,2019-04-02,"Apps, Billing, Financial Services, SaaS","Palo Alto, California, United States, North America",$10M to $50M,10,IPO
Seed Round - ManageCasa,https://www.crunchbase.com/funding_round/managecasa-inc-seed--90cacdbb,ManageCasa,https://www.crunchbase.com/organization/managecasa-inc,Seed,1200000,USD,1200000,2019-04-02,"Accounting, Building Maintenance, Computer, Document Management, Enterprise Software, Finance, Internet, Mobile, Payments, Software","San Francisco, California, United States, North America",Less than $1M,3,Seed
Private Equity Round - The Happy Planner,https://www.crunchbase.com/funding_round/the-happy-planner-private-equity--2edb9d44,The Happy Planner,https://www.crunchbase.com/organization/the-happy-planner,Private Equity,,,,2019-04-02,"Information Technology, Software","Fountain Valley, California, United States, North America",,1,Private Equity
Series A - Cora,https://www.crunchbase.com/funding_round/cora-2-series-a--ac3b1767,Cora,https://www.crunchbase.com/organization/cora-2,Series A,7500000,USD,7500000,2019-04-02,"Beauty, Fitness, Health Care, Wellness","San Francisco, California, United States, North America",Less than $1M,4,
Debt Financing - Branchpoint Technologies,https://www.crunchbase.com/funding_round/branchpoint-technologies-debt-financing--f149dcf3,Branchpoint Technologies,https://www.crunchbase.com/organization/branchpoint-technologies,Debt Financing,279231,USD,279231,2019-04-03,"Health Care, Medical, Medical Device","San Clemente, California, United States, North America",,5,Late Stage Venture
Series F - Affirm,https://www.crunchbase.com/funding_round/affirm-series-f--87997e72,Affirm,https://www.crunchbase.com/organization/affirm,Series F,300000000,USD,300000000,2019-04-03,"Consumer Lending, E-Commerce, Fashion, Financial Services, FinTech, Payments, Personal Finance, Retail","San Francisco, California, United States, North America",$100M to $500M,7,Late Stage Venture
Series A - Rippling,https://www.crunchbase.com/funding_round/rippling-series-a--4cce6919,Rippling,https://www.crunchbase.com/organization/rippling,Series A,45000000,USD,45000000,2019-04-03,"Employment, Human Resources, Information Technology, IT Management, Software","San Francisco, California, United States, North America",$1M to $10M,5,Early Stage Venture
Venture Round - Jawbone Health,https://www.crunchbase.com/funding_round/jawbone-health-series-unknown--eb852855,Jawbone Health,https://www.crunchbase.com/organization/jawbone-health,Venture - Series Unknown,65426856,USD,65426856,2019-04-03,"Health Care, Information Services, Wellness","San Francisco, California, United States, North America",$10M to $50M,3,
Seed Round - GIBLIB,https://www.crunchbase.com/funding_round/giblib-seed--bb7099fa,GIBLIB,https://www.crunchbase.com/organization/giblib,Seed,2500000,USD,2500000,2019-04-03,"Health Care, Health Diagnostics, Medical","Los Angeles, California, United States, North America",$1M to $10M,3,Seed
Seed Round - Red Planet Labs,https://www.crunchbase.com/funding_round/red-planet-labs-seed--08fc2739,Red Planet Labs,https://www.crunchbase.com/organization/red-planet-labs,Seed,5000000,USD,5000000,2019-04-03,"Information Technology, iOS, Software","Poway, California, United States, North America",,2,Seed
Series B - Enlitic,https://www.crunchbase.com/funding_round/enlitic-series-b--041824ca,Enlitic,https://www.crunchbase.com/organization/enlitic,Series B,15000000,USD,15000000,2019-04-04,"Analytics, Artificial Intelligence, Clinical Trials, Health Care, Image Recognition, Medical Device, Natural Language Processing, Pharmaceutical, Predictive Analytics, Software","San Francisco, California, United States, North America",$1M to $10M,4,Early Stage Venture
Funding Round - FalconX,https://www.crunchbase.com/funding_round/falconx-undisclosed--71347ff9,FalconX,https://www.crunchbase.com/organization/falconx,Funding Round,,,,2019-04-05,"Blockchain, Cryptocurrency, Finance, Financial Exchanges, Trading Platform","San Francisco, California, United States, North America",,2,
Pre Seed Round - Bloom,https://www.crunchbase.com/funding_round/bloom-15dc-pre-seed--9c4951c5,Bloom,https://www.crunchbase.com/organization/bloom-15dc,Pre-Seed,1970000,USD,1970000,2019-04-05,"Biotechnology, Fitness, Health Care, Wellness","San Diego, California, United States, North America",,2,Seed
Series A - Landed,https://www.crunchbase.com/funding_round/landed-series-a--a8c7ca73,Landed,https://www.crunchbase.com/organization/landed,Series A,7500000,USD,7500000,2019-04-05,"Education, Finance, Group Buying, Impact Investing, Real Estate","San Francisco, California, United States, North America",$1M to $10M,3,Early Stage Venture
Non Equity Assistance - Xapix,https://www.crunchbase.com/funding_round/xapix-io-non-equity-assistance--0342ea97,Xapix,https://www.crunchbase.com/organization/xapix-io,Non-equity Assistance,,,,2019-04-05,"Automotive, Data Integration, Developer APIs, Developer Tools, Enterprise Software, Information Technology, Software","San Francisco, California, United States, North America",Less than $1M,6,Seed
Series C - Click Diagnostics,https://www.crunchbase.com/funding_round/clickdiagnostics-series-c--5cee42d3,Click Diagnostics,https://www.crunchbase.com/organization/clickdiagnostics,Series C,100000000,USD,100000000,2019-04-05,"Health Care, Health Diagnostics, Medical","San Jose, California, United States, North America",$1M to $10M,3,Late Stage Venture
Series C - Branch International,https://www.crunchbase.com/funding_round/branch-intl-series-c--e6e184d3,Branch International,https://www.crunchbase.com/organization/branch-intl,Series C,170000000,USD,170000000,2019-04-07,"Apps, Finance, Financial Services, FinTech","San Francisco, California, United States, North America",$100M to $500M,8,Late Stage Venture
