Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Industries,Organization Location,Organization Revenue Range,Number of Funding Rounds,Funding Status
Series D - Upstart,https://www.crunchbase.com/funding_round/upstart-series-d--16c164ea,Upstart,https://www.crunchbase.com/organization/upstart,Series D,50000000,USD,50000000,2019-04-08,"Credit, Finance, Financial Services, FinTech, Internet, Lending, Personal Finance","San Carlos, California, United States, North America",$500M to $1B,6,Late Stage Venture
Product Crowdfunding - LumiCharge II,https://www.crunchbase.com/funding_round/lumicharge-ii-product-crowdfunding--664527d8,LumiCharge II,https://www.crunchbase.com/organization/lumicharge-ii,Product Crowdfunding,1251938,INR,17997,2019-04-08,"Information Technology, Software","Foothill Ranch, California, United States, North America",,1,
Series D - Bitglass,https://www.crunchbase.com/funding_round/bitglass-series-d--f0423322,Bitglass,https://www.crunchbase.com/organization/bitglass,Series D,70000000,USD,70000000,2019-04-08,"Cloud Computing, Cloud Security, Cyber Security, IaaS, Information Technology, Mobile, Network Security, SaaS, Software","Campbell, California, United States, North America",$10M to $50M,4,Late Stage Venture
Series C - Expanse,https://www.crunchbase.com/funding_round/expanse-inc-series-c--6a50cb0a,Expanse,https://www.crunchbase.com/organization/expanse-inc,Series C,70000000,USD,70000000,2019-04-09,"Cyber Security, Information Technology, Security, Software","San Francisco, California, United States, North America",$1M to $10M,4,Late Stage Venture
Corporate Round - I BLADES,https://www.crunchbase.com/funding_round/i-blades-corporate-round--f4b591fd,I BLADES,https://www.crunchbase.com/organization/i-blades,Corporate Round,,,,2019-04-09,"Consumer Electronics, Cyber Security, Enterprise Software, Information Technology, Mobile Devices","Milpitas, California, United States, North America",Less than $1M,2,
Seed Round - AURA Devices,https://www.crunchbase.com/funding_round/aura-devices-seed--f7378082,AURA Devices,https://www.crunchbase.com/organization/aura-devices,Seed,1100000,USD,1100000,2019-04-09,"Fitness, Health Care, Health Insurance, Internet of Things, Wearables, Wellness","San Francisco, California, United States, North America",,3,Seed
Seed Round - Robot Ventures,https://www.crunchbase.com/funding_round/robot-ventures-seed--34eb1e94,Robot Ventures,https://www.crunchbase.com/organization/robot-ventures,Seed,1000000,USD,1000000,2019-04-10,"Blockchain, FinTech, Venture Capital","San Francisco, California, United States, North America",,1,Seed
Series B - Prealize Health,https://www.crunchbase.com/funding_round/Prealize-Health-series-b--bce92bdb,Prealize Health,https://www.crunchbase.com/organization/Prealize-Health,Series B,22000000,USD,22000000,2019-04-10,"Health Care, Hospital, Life Science, Machine Learning, Medical","Palo Alto, California, United States, North America",$1M to $10M,2,Early Stage Venture
Seed Round - GjAIN,https://www.crunchbase.com/funding_round/gjain-seed--eed3aa96,GjAIN,https://www.crunchbase.com/organization/gjain,Seed,,,,2019-04-10,"Blockchain, Film, Financial Services, FinTech, Insurance, Media and Entertainment","Los Angeles, California, United States, North America",,2,Seed
Seed Round - Netography,https://www.crunchbase.com/funding_round/netography-com-seed--f2355514,Netography,https://www.crunchbase.com/organization/netography-com,Seed,,,,2019-04-10,"Cyber Security, Information Technology, Internet, Security","San Francisco, California, United States, North America",,2,Seed
Seed Round - Dyneti Technologies,https://www.crunchbase.com/funding_round/dyneti-technologies-seed--f827cccf,Dyneti Technologies,https://www.crunchbase.com/organization/dyneti-technologies,Seed,,,,2019-04-10,"Artificial Intelligence, Information Technology, Machine Learning","San Francisco, California, United States, North America",,3,Seed
Debt Financing - Summit Healthcare REIT,https://www.crunchbase.com/funding_round/summit-healthcare-reit-debt-financing--8ace864b,Summit Healthcare REIT,https://www.crunchbase.com/organization/summit-healthcare-reit,Debt Financing,96000000,USD,96000000,2019-04-10,"Health Care, Real Estate","Lake Forest, California, United States, North America",,1,
Seed Round - AnyRoad,https://www.crunchbase.com/funding_round/anyroad-seed--ba0a6451,AnyRoad,https://www.crunchbase.com/organization/anyroad,Seed,,,,2019-04-11,"Big Data, Enterprise Software, Information Technology, Internet, Marketing, SaaS, Software","San Francisco, California, United States, North America",Less than $1M,6,Early Stage Venture
Seed Round - Fauna Bio,https://www.crunchbase.com/funding_round/fauna-bio-seed--eedaef94,Fauna Bio,https://www.crunchbase.com/organization/fauna-bio,Seed,4100000,USD,4100000,2019-04-11,"Biotechnology, Health Care, Hospital, Medical","Berkeley, California, United States, North America",,2,Seed
Grant - ImmunogenX,https://www.crunchbase.com/funding_round/immunogenx-grant--4710712e,ImmunogenX,https://www.crunchbase.com/organization/immunogenx,Grant,,,,2019-04-11,"Biotechnology, Health Care","Newport Beach, California, United States, North America",,1,
Venture Round - Pony.ai,https://www.crunchbase.com/funding_round/pony-ai-series-unknown--aaa32898,Pony.ai,https://www.crunchbase.com/organization/pony-ai,Venture - Series Unknown,50000000,USD,50000000,2019-04-11,"Artificial Intelligence, Automotive, Autonomous Vehicles, Information Technology, Software, Transportation","Fremont, California, United States, North America",,5,Early Stage Venture
Series C - Ajax Health,https://www.crunchbase.com/funding_round/ajax-health-series-c--c9672bc5,Ajax Health,https://www.crunchbase.com/organization/ajax-health,Series C,85000000,USD,85000000,2019-04-14,"Clinical Trials, Health Care, Medical Device","Menlo Park, California, United States, North America",,4,Late Stage Venture
Seed Round - Keeper Tax,https://www.crunchbase.com/funding_round/keeper-tax-seed--083c378a,Keeper Tax,https://www.crunchbase.com/organization/keeper-tax,Seed,1600000,USD,1600000,2019-04-15,"Accounting, Apps, Financial Services, Personal Finance","San Francisco, California, United States, North America",,2,Seed
Grant - Temblor,https://www.crunchbase.com/funding_round/temblor-inc-grant--021d2179,Temblor,https://www.crunchbase.com/organization/temblor-inc,Grant,750000,USD,750000,2019-04-15,"Information Technology, Insurance, Mobile Apps","Redwood City, California, United States, North America",Less than $1M,2,
Seed Round - Oralucent,https://www.crunchbase.com/funding_round/oralucent-seed--abfc4967,Oralucent,https://www.crunchbase.com/organization/oralucent,Seed,1000000,USD,1000000,2019-04-15,"Health Care, Medical Device, Personal Health","Long Beach, California, United States, North America",,1,Seed
Seed Round - TalentWall,https://www.crunchbase.com/funding_round/talentwall-seed--ad084c82,TalentWall,https://www.crunchbase.com/organization/talentwall,Seed,,,,2019-04-15,"Human Resources, Information Technology","San Francisco, California, United States, North America",,1,Seed
Seed Round - SensorTransport,https://www.crunchbase.com/funding_round/sensortransport-seed--2a444e0d,SensorTransport,https://www.crunchbase.com/organization/sensortransport,Seed,,,,2019-04-15,"Apps, Information Technology, Logistics, Mobile Apps, Software, Transportation","Elk Grove, California, United States, North America",Less than $1M,3,Seed
Grant - Respira Labs,https://www.crunchbase.com/funding_round/respira-labs-grant--9ef0ee8f,Respira Labs,https://www.crunchbase.com/organization/respira-labs,Grant,10000,USD,10000,2019-04-15,"Health Care, Machine Learning, Medical Device, Wearables","Mountain View, California, United States, North America",,6,Seed
Venture Round - Sports Data Labs,https://www.crunchbase.com/funding_round/sports-data-labs-series-unknown--037c7628,Sports Data Labs,https://www.crunchbase.com/organization/sports-data-labs,Venture - Series Unknown,,,,2019-04-16,"Database, Information Technology, Vertical Search","San Francisco, California, United States, North America",Less than $1M,2,
Convertible Note - Grain,https://www.crunchbase.com/funding_round/grain-c423-convertible-note--a11e6b77,Grain,https://www.crunchbase.com/organization/grain-c423,Convertible Note,,,,2019-04-16,Financial Services,"San Francisco, California, United States, North America",,2,
Grant - Salk Institute for Biological Studies,https://www.crunchbase.com/funding_round/salk-institute-for-biological-studies-grant--4fce05a9,Salk Institute for Biological Studies,https://www.crunchbase.com/organization/salk-institute-for-biological-studies,Grant,35000000,USD,35000000,2019-04-16,"Education, Genetics, Health Care, Non Profit","La Jolla, California, United States, North America",Less than $1M,5,
Series B - Citcon,https://www.crunchbase.com/funding_round/citcon-2-series-b--96b7a480,Citcon,https://www.crunchbase.com/organization/citcon-2,Series B,8000000,USD,8000000,2019-04-16,"FinTech, Marketing, Mobile Payments, Travel","Santa Clara, California, United States, North America",$1M to $10M,3,Early Stage Venture
Private Equity Round - Blume Global,https://www.crunchbase.com/funding_round/blume-global-private-equity--226c9933,Blume Global,https://www.crunchbase.com/organization/blume-global,Private Equity,,,,2019-04-16,Information Technology,"Pleasanton, California, United States, North America",,1,Private Equity
Debt Financing - Brex,https://www.crunchbase.com/funding_round/brex-debt-financing--9b33131d,Brex,https://www.crunchbase.com/organization/brex,Debt Financing,100000000,USD,100000000,2019-04-16,"Credit Cards, Finance, Financial Services, FinTech, Life Science","San Francisco, California, United States, North America",$10M to $50M,8,Late Stage Venture
Post-IPO Debt - Alphatec Spine,https://www.crunchbase.com/funding_round/alphatec-spine-post-ipo-debt--0d1558db,Alphatec Spine,https://www.crunchbase.com/organization/alphatec-spine,Post-IPO Debt,30000000,USD,30000000,2019-04-16,"Health Care, Medical Device, Product Design","Carlsbad, California, United States, North America",$10M to $50M,4,IPO
Seed Round - formsense,https://www.crunchbase.com/funding_round/formsense-seed--ea1ed23e,formsense,https://www.crunchbase.com/organization/formsense,Seed,,,,2019-04-17,"Artificial Intelligence, Fashion, Fitness, Health Care, Rehabilitation, Semiconductor, Sensor, Sporting Goods, Sports, Wearables","San Diego, California, United States, North America",,3,Seed
Seed Round - Arine,https://www.crunchbase.com/funding_round/arine-seed--4eacf977,Arine,https://www.crunchbase.com/organization/arine,Seed,,,,2019-04-17,"Health Care, Pharmaceutical","San Francisco, California, United States, North America",,3,Seed
Series A - Airbase,https://www.crunchbase.com/funding_round/airbase-series-a--d40f9824,Airbase,https://www.crunchbase.com/organization/airbase,Series A,7000000,USD,7000000,2019-04-17,"Finance, Financial Services, Management Information Systems","San Francisco, California, United States, North America",$1M to $10M,2,Early Stage Venture
Series B - Pilot,https://www.crunchbase.com/funding_round/pilot-a94a-series-b--fc1e469c,Pilot,https://www.crunchbase.com/organization/pilot-a94a,Series B,40000000,USD,40000000,2019-04-17,"Accounting, Financial Services, FinTech, Professional Services, SaaS, Software","San Francisco, California, United States, North America",$1M to $10M,3,Early Stage Venture
Series B - Returnly,https://www.crunchbase.com/funding_round/return-series-b--59b47ff2,Returnly,https://www.crunchbase.com/organization/return,Series B,19000000,USD,19000000,2019-04-17,"E-Commerce, Finance, FinTech, Payments, SaaS","San Francisco, California, United States, North America",$1M to $10M,3,Early Stage Venture
Series C - CloudGenix,https://www.crunchbase.com/funding_round/cloudgenix-series-c--694bf3c8,CloudGenix,https://www.crunchbase.com/organization/cloudgenix,Series C,65000000,USD,65000000,2019-04-17,"Computer, Enterprise Software, Information Technology, Internet, Network Hardware, Security, Software","San Jose, California, United States, North America",$1M to $10M,4,M&A
Seed Round - Mos,https://www.crunchbase.com/funding_round/mos-seed--2ca67536,Mos,https://www.crunchbase.com/organization/mos,Seed,4000000,USD,4000000,2019-04-17,"Information Technology, Software","San Francisco, California, United States, North America",,1,Seed
Venture Round - Software.com,https://www.crunchbase.com/funding_round/softwaredotcom-series-unknown--11f53275,Software.com,https://www.crunchbase.com/organization/softwaredotcom,Venture - Series Unknown,7000000,USD,7000000,2019-04-17,"Developer Platform, Developer Tools, Information Technology, Software, Software Engineering","San Francisco, California, United States, North America",Less than $1M,1,
Grant - Neurotrack,https://www.crunchbase.com/funding_round/neurotrack-technologies-grant--2e1d21f8,Neurotrack,https://www.crunchbase.com/organization/neurotrack-technologies,Grant,3300000,USD,3300000,2019-04-17,"Biotechnology, Health Care, Health Diagnostics, Mobile Devices","Redwood City, California, United States, North America",$1M to $10M,8,Late Stage Venture
Seed Round - YourChoice Therapeutics,https://www.crunchbase.com/funding_round/yourchoice-therapeutics-seed--07b687f4,YourChoice Therapeutics,https://www.crunchbase.com/organization/yourchoice-therapeutics,Seed,,,,2019-04-18,"Health Care, Therapeutics","Berkeley, California, United States, North America",,3,Seed
Seed Round - IrisVision,https://www.crunchbase.com/funding_round/irisvision-seed--bd098342,IrisVision,https://www.crunchbase.com/organization/irisvision,Seed,,,,2019-04-18,"Education, Electronics, Health Care, Telecommunications","Pleasanton, California, United States, North America",,1,Seed
Series A - Moveworks,https://www.crunchbase.com/funding_round/moveworks-series-a--c431b04b,Moveworks,https://www.crunchbase.com/organization/moveworks,Series A,30000000,USD,30000000,2019-04-18,"Artificial Intelligence, Cloud Computing, Information Technology, SaaS, Technical Support","Mountain View, California, United States, North America",$1M to $10M,2,Early Stage Venture
Seed Round - Fuzzbuzz,https://www.crunchbase.com/funding_round/fuzzbuzz-seed--59e0b7c6,Fuzzbuzz,https://www.crunchbase.com/organization/fuzzbuzz,Seed,2700000,USD,2700000,2019-04-18,"Developer Tools, Information Technology, Internet, SaaS","Redwood City, California, United States, North America",,3,Seed
Seed Round - Delic,https://www.crunchbase.com/funding_round/delic-78d3-seed--35997b3f,Delic,https://www.crunchbase.com/organization/delic-78d3,Seed,150000,USD,150000,2019-04-18,"Information Technology, Internet, Marketing","Marina Del Rey, California, United States, North America",,1,Seed
"Seed Round - MemComputing, Inc.",https://www.crunchbase.com/funding_round/memcomputing-inc-seed--83496ca0,"MemComputing, Inc.",https://www.crunchbase.com/organization/memcomputing-inc,Seed,,,,2019-04-19,"Artificial Intelligence, Information Technology, SaaS, Software","San Diego, California, United States, North America",,2,Seed
Seed Round - Calypso AI,https://www.crunchbase.com/funding_round/calypso-ai-seed--49006383,Calypso AI,https://www.crunchbase.com/organization/calypso-ai,Seed,,,,2019-04-19,"Artificial Intelligence, Cyber Security, Information Technology","San Francisco, California, United States, North America",,1,Seed
Seed Round - Flux Bioscience,https://www.crunchbase.com/funding_round/flux-bioscience-seed--c5f2187d,Flux Bioscience,https://www.crunchbase.com/organization/flux-bioscience,Seed,,,,2019-04-19,"Biotechnology, Computer, Health Care, Information Technology, Medical, Robotics, Software","San Francisco, California, United States, North America",,2,Seed
Seed Round - Voyage Biomedical,https://www.crunchbase.com/funding_round/voyage-biomedical-seed--ef55eec0,Voyage Biomedical,https://www.crunchbase.com/organization/voyage-biomedical,Seed,150000,USD,150000,2019-04-20,"Health Care, Medical","Berkeley, California, United States, North America",,1,Seed
Equity Crowdfunding - CannCo,https://www.crunchbase.com/funding_round/cannco-equity-crowdfunding--aa7058e1,CannCo,https://www.crunchbase.com/organization/cannco,Equity Crowdfunding,726633,USD,726633,2019-04-20,"Bitcoin, Consulting, Information Technology, Software","Los Angeles, California, United States, North America",,1,
