Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Industries,Organization Location,Organization Revenue Range,Number of Funding Rounds,Funding Status
Seed Round - Spellbrush,https://www.crunchbase.com/funding_round/spellbrush-seed--28098790,Spellbrush,https://www.crunchbase.com/organization/spellbrush,Seed,120000,USD,120000,2018-08-05,"Information Technology, Software","San Francisco, California, United States, North America",,1,Seed
Seed Round - Key Values,https://www.crunchbase.com/funding_round/key-values-seed--3191ed08,Key Values,https://www.crunchbase.com/organization/key-values,Seed,120000,USD,120000,2018-08-05,"Employment, Information Technology, Recruiting, Software","San Francisco, California, United States, North America",,1,Seed
Seed Round - TokenSoft Inc.,https://www.crunchbase.com/funding_round/tokensoft-inc-seed--73f93d96,TokenSoft Inc.,https://www.crunchbase.com/organization/tokensoft-inc,Seed,,,,2018-08-06,"Blockchain, Enterprise Software, Financial Services, FinTech, Software","San Francisco, California, United States, North America",,2,Seed
Angel Round - Deuro,https://www.crunchbase.com/funding_round/deuro-angel--8258a81c,Deuro,https://www.crunchbase.com/organization/deuro,Angel,,,,2018-08-06,"Artificial Intelligence, CRM, Information Technology, Internet, Software","Mountain View, California, United States, North America",,1,Seed
Seed Round - Sportamix,https://www.crunchbase.com/funding_round/sportamix-7d38-seed--68dfc3e7,Sportamix,https://www.crunchbase.com/organization/sportamix-7d38,Seed,90000,USD,90000,2018-08-06,"Education, Information Technology, Internet, Social Media, Sports","Santa Monica, California, United States, North America",,5,Seed
Venture Round - Guardant Health,https://www.crunchbase.com/funding_round/guardant-health-series-unknown--7891008b,Guardant Health,https://www.crunchbase.com/organization/guardant-health,Venture - Series Unknown,,,,2018-08-06,"Biotechnology, Health Care, Health Diagnostics","Redwood City, California, United States, North America",$50M to $100M,8,IPO
Private Equity Round - GoodRx,https://www.crunchbase.com/funding_round/goodrx-private-equity--12564024,GoodRx,https://www.crunchbase.com/organization/goodrx,Private Equity,,,,2018-08-06,"Health Care, Medical, Pharmaceutical","Santa Monica, California, United States, North America",Less than $1M,3,Private Equity
Venture Round - Samumed,https://www.crunchbase.com/funding_round/samumed-series-unknown--1963acc7,Samumed,https://www.crunchbase.com/organization/samumed,Venture - Series Unknown,438000000,USD,438000000,2018-08-06,"Biotechnology, Health Care, Life Science","San Diego, California, United States, North America",$10M to $50M,2,
Series A - Kedalion Therapeutics,https://www.crunchbase.com/funding_round/kedalion-therapeutics-series-a--a114f228,Kedalion Therapeutics,https://www.crunchbase.com/organization/kedalion-therapeutics,Series A,5000000,USD,5000000,2018-08-06,"Biotechnology, Health Care, Therapeutics","Menlo Park, California, United States, North America",,1,Early Stage Venture
Seed Round - Open Health Network,https://www.crunchbase.com/funding_round/open-health-network-seed--0d640c9b,Open Health Network,https://www.crunchbase.com/organization/open-health-network,Seed,150000,USD,150000,2018-08-06,"Analytics, Artificial Intelligence, Big Data, Blockchain, Electronic Health Record (EHR), Health Care, Information Technology, mHealth","Mountain View, California, United States, North America",Less than $1M,2,Seed
