Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Industries,Organization Location,Organization Revenue Range,Number of Funding Rounds,Funding Status
Initial Coin Offering - OPSkins,https://www.crunchbase.com/funding_round/opskins-initial-coin-offering--acbc52ac,OPSkins,https://www.crunchbase.com/organization/opskins,Initial Coin Offering,41000000,USD,41000000,2017-11-13,"E-Commerce, Gaming, Internet","Santa Monica, California, United States, North America",Less than $1M,1,
Series B - Engage3,https://www.crunchbase.com/funding_round/engage3-solution-series-b--ed52ddb0,Engage3,https://www.crunchbase.com/organization/engage3-solution,Series B,12000000,USD,12000000,2017-07-10,"Analytics, Big Data, E-Commerce, Internet of Things, Retail","Davis, California, United States, North America",$10M to $50M,5,Late Stage Venture
Pre Seed Round - Steps Mobile Inc.,https://www.crunchbase.com/funding_round/steps-mobile-inc-pre-seed--0f66c66e,Steps Mobile Inc.,https://www.crunchbase.com/organization/steps-mobile-inc,Pre-Seed,220000,USD,220000,2018-06-14,"Advertising, E-Commerce, Fitness, Lifestyle, Mobile Apps","San Francisco, California, United States, North America",,2,Seed
Series C - Goop,https://www.crunchbase.com/funding_round/goop-series-c--c968b89c,Goop,https://www.crunchbase.com/organization/goop,Series C,50000000,USD,50000000,2018-03-28,"E-Commerce, Fashion, Health Care, Shopping, Travel, Wellness","Los Angeles, California, United States, North America",$10M to $50M,3,Late Stage Venture
Venture Round - vPersonalize.com,https://www.crunchbase.com/funding_round/vpersonalize-com-series-unknown--d918c54b,vPersonalize.com,https://www.crunchbase.com/organization/vpersonalize-com,Venture - Series Unknown,1000000,USD,1000000,2018-08-01,"Automotive, E-Commerce, Fashion, Logistics, Personalization, Software","San Francisco, California, United States, North America",$10M to $50M,2,
Debt Financing - Color Card Administrator,https://www.crunchbase.com/funding_round/color-card-administrator-debt-financing--bb418b5e,Color Card Administrator,https://www.crunchbase.com/organization/color-card-administrator,Debt Financing,250000,USD,250000,2017-09-26,"CRM, E-Commerce, Information Technology, Internet, Internet of Things, Printing, Professional Services, Software","San Diego, California, United States, North America",Less than $1M,1,
Venture Round - Jean Dousset Brands,https://www.crunchbase.com/funding_round/jean-dousset-brands-series-unknown--baccf992,Jean Dousset Brands,https://www.crunchbase.com/organization/jean-dousset-brands,Venture - Series Unknown,1200000,USD,1200000,2017-12-11,"E-Commerce, Fashion, Product Design","West Hollywood, California, United States, North America",,1,
Seed Round - OurMenu,https://www.crunchbase.com/funding_round/ourmenu-seed--063afb8d,OurMenu,https://www.crunchbase.com/organization/ourmenu,Seed,120000,USD,120000,2018-01-04,"Apps, B2B, E-Commerce, Food and Beverage, Food Delivery, Internet, Service Industry, Travel","Mountain View, California, United States, North America",,2,Seed
Seed Round - Senpex,https://www.crunchbase.com/funding_round/senpex-seed--9c50b76b,Senpex,https://www.crunchbase.com/organization/senpex,Seed,150000,USD,150000,2018-01-01,"Catering, Crowdsourcing, Delivery, Delivery Service, E-Commerce, Food Delivery, Internet, Last Mile Transportation, Same Day Delivery, Shipping","Sunnyvale, California, United States, North America",Less than $1M,5,Seed
Series A - More Labs,https://www.crunchbase.com/funding_round/82-labs-inc-series-a--2ed1efe7,More Labs,https://www.crunchbase.com/organization/82-labs-inc,Series A,10000000,CAD,7807925,2018-04-03,"Consumer Goods, E-Commerce, Food and Beverage, Food Processing, Health Care, Wellness","Los Angeles, California, United States, North America",Less than $1M,4,Seed
Corporate Round - Engage3,https://www.crunchbase.com/funding_round/engage3-solution-corporate-round--bca6733c,Engage3,https://www.crunchbase.com/organization/engage3-solution,Corporate Round,,,,2019-02-06,"Analytics, Big Data, E-Commerce, Internet of Things, Retail","Davis, California, United States, North America",$10M to $50M,5,Late Stage Venture
Series F - Instacart,https://www.crunchbase.com/funding_round/instacart-series-f--494d246c,Instacart,https://www.crunchbase.com/organization/instacart,Series F,600000000,USD,600000000,2018-10-16,"Delivery, Delivery Service, E-Commerce, Grocery, Same Day Delivery","San Francisco, California, United States, North America",$1B to $10B,11,Late Stage Venture
Series A - OmnyWay,https://www.crunchbase.com/funding_round/omnypay-series-a--c1f5b322,OmnyWay,https://www.crunchbase.com/organization/omnypay,Series A,12750000,USD,12750000,2017-10-12,"E-Commerce, Information Services, Information Technology, Payments, Retail","San Francisco, California, United States, North America",$1M to $10M,3,Early Stage Venture
Seed Round - ShopLook,https://www.crunchbase.com/funding_round/shoplook-seed--c2bad54c,ShopLook,https://www.crunchbase.com/organization/shoplook,Seed,,,,2018-05-15,"E-Commerce, Fashion, Retail","San Francisco, California, United States, North America",Less than $1M,1,Seed
Series A - Kickked,https://www.crunchbase.com/funding_round/kickked-series-a--9951a48b,Kickked,https://www.crunchbase.com/organization/kickked,Series A,250000,USD,250000,2018-01-02,E-Commerce,"Los Angeles, California, United States, North America",,1,Early Stage Venture
Private Equity Round - SlideBelts,https://www.crunchbase.com/funding_round/slidebelts-private-equity--e1148b3f,SlideBelts,https://www.crunchbase.com/organization/slidebelts,Private Equity,,,,2017-10-04,"E-Commerce, Fashion, Lifestyle, Retail","El Dorado Hills, California, United States, North America",$1M to $10M,4,Private Equity
Series C - Hollar,https://www.crunchbase.com/funding_round/hollar-2-series-c--d6ad4a5f,Hollar,https://www.crunchbase.com/organization/hollar-2,Series C,29999995,USD,29999995,2017-12-05,"Consumer Electronics, E-Commerce, Retail","Commerce, California, United States, North America",$10M to $50M,4,M&A
Series A - Lumi,https://www.crunchbase.com/funding_round/lumi-series-a--4c06d453,Lumi,https://www.crunchbase.com/organization/lumi,Series A,9000000,USD,9000000,2018-02-14,"E-Commerce, Fashion, Graphic Design, Manufacturing, Packaging Services, Printing, Supply Chain Management","Los Angeles, California, United States, North America",$1M to $10M,4,Early Stage Venture
Series E - Instacart,https://www.crunchbase.com/funding_round/instacart-series-e--5c7843e5,Instacart,https://www.crunchbase.com/organization/instacart,Series E,150000000,USD,150000000,2018-04-05,"Delivery, Delivery Service, E-Commerce, Grocery, Same Day Delivery","San Francisco, California, United States, North America",$1B to $10B,11,Late Stage Venture
Seed Round - For Days,https://www.crunchbase.com/funding_round/for-days-seed--a846cc46,For Days,https://www.crunchbase.com/organization/for-days,Seed,,,,2017-12-01,"E-Commerce, Fashion, Manufacturing","Los Angeles, California, United States, North America",,4,Seed
Series B - ThirdLove,https://www.crunchbase.com/funding_round/thirdlove-series-b--d564f9cf,ThirdLove,https://www.crunchbase.com/organization/thirdlove,Series B,55000000,USD,55000000,2019-02-26,"E-Commerce, Fashion, Mobile, Shopping","San Francisco, California, United States, North America",$100M to $500M,4,Early Stage Venture
Product Crowdfunding - Nebia,https://www.crunchbase.com/funding_round/nebia-product-crowdfunding--7f59722e,Nebia,https://www.crunchbase.com/organization/nebia,Product Crowdfunding,584791,USD,584791,2019-02-12,"Consumer Goods, E-Commerce, Environmental Engineering, Food and Beverage, Product Design, Water, Web Design","San Francisco, California, United States, North America",Less than $1M,6,
Seed Round - Voyage Mobile,https://www.crunchbase.com/funding_round/voyage-mobile-seed--ea86d7a1,Voyage Mobile,https://www.crunchbase.com/organization/voyage-mobile,Seed,618000,USD,618000,2018-10-15,"E-Commerce, Mobile, Software","Los Angeles, California, United States, North America",,2,Seed
Series A - Packlane,https://www.crunchbase.com/funding_round/packlane-series-a--112d2593,Packlane,https://www.crunchbase.com/organization/packlane,Series A,4000000,USD,4000000,2018-06-07,"E-Commerce, Manufacturing, Packaging Services, Printing","Berkeley, California, United States, North America",$1M to $10M,2,Early Stage Venture
Series E - Poshmark,https://www.crunchbase.com/funding_round/poshmark-series-e--088d41ef,Poshmark,https://www.crunchbase.com/organization/poshmark,Series E,87500000,USD,87500000,2017-11-14,"E-Commerce, Fashion, Marketplace, Peer to Peer","Redwood City, California, United States, North America",$100M to $500M,6,Late Stage Venture
Convertible Note - TABLE.co,https://www.crunchbase.com/funding_round/table-co-convertible-note--57bf5c6a,TABLE.co,https://www.crunchbase.com/organization/table-co,Convertible Note,1000000,USD,1000000,2018-06-07,"Collaboration, Customer Service, E-Commerce, Machine Learning, Retail Technology, SaaS, Shopping, Software, Video Chat","Berkeley, California, United States, North America",$1M to $10M,3,Seed
Convertible Note - Searchable.com,https://www.crunchbase.com/funding_round/searchable-com-convertible-note--f38ce2aa,Searchable.com,https://www.crunchbase.com/organization/searchable-com,Convertible Note,,,,2017-10-16,"Ad Network, Advertising Platforms, Consumer Applications, E-Commerce, Location Based Services, Messaging, Mobile, Mobile Advertising, Mobile Apps","Thousand Oaks, California, United States, North America",$1M to $10M,3,Seed
Seed Round - VYRL,https://www.crunchbase.com/funding_round/vyrl-seed--26123351,VYRL,https://www.crunchbase.com/organization/vyrl,Seed,1750000,USD,1750000,2018-04-09,"Big Data, Digital Marketing, E-Commerce, Marketing Automation, Social Media Marketing","Irvine, California, United States, North America",$1M to $10M,3,Early Stage Venture
Series B - Hims,https://www.crunchbase.com/funding_round/hims-series-b--498e3c31,Hims,https://www.crunchbase.com/organization/hims,Series B,50000000,USD,50000000,2018-06-28,"E-Commerce, Health Care, Men's, Wellness","San Francisco, California, United States, North America",$10M to $50M,7,Late Stage Venture
Convertible Note - Savitude,https://www.crunchbase.com/funding_round/savitude-inc-convertible-note--ceeb9833,Savitude,https://www.crunchbase.com/organization/savitude-inc,Convertible Note,150000,USD,150000,2017-07-17,"Artificial Intelligence, E-Commerce, Fashion, Machine Learning, Retail Technology","Palo Alto, California, United States, North America",Less than $1M,4,Seed
Venture Round - Ecinity,https://www.crunchbase.com/funding_round/ecinity-series-unknown--ae1947ec,Ecinity,https://www.crunchbase.com/organization/ecinity,Venture - Series Unknown,11162109,USD,11162109,2017-08-23,"E-Commerce, Internet, Marketing, Marketing Automation","Los Angeles, California, United States, North America",$10M to $50M,3,
Series B - ZipRecruiter,https://www.crunchbase.com/funding_round/ziprecruiter-series-b--0fb6dd77,ZipRecruiter,https://www.crunchbase.com/organization/ziprecruiter,Series B,156000000,USD,156000000,2018-10-04,"E-Commerce, Employment, Human Resources, Internet, Mobile Apps, Recruiting, SaaS, Software","Santa Monica, California, United States, North America",$100M to $500M,2,Early Stage Venture
Seed Round - Skylar,https://www.crunchbase.com/funding_round/skylar-body-seed--0d3dc029,Skylar,https://www.crunchbase.com/organization/skylar-body,Seed,3000000,USD,3000000,2018-01-22,"Beauty, Consumer Goods, Cosmetics, E-Commerce, Sales","Los Angeles, California, United States, North America",$1M to $10M,3,Early Stage Venture
Seed Round - WoahStork,https://www.crunchbase.com/funding_round/woahstork-2-seed--d9fcfdb4,WoahStork,https://www.crunchbase.com/organization/woahstork-2,Seed,750000,USD,750000,2017-10-01,"Cannabis, E-Commerce, Internet, Marketplace","Santa Monica, California, United States, North America",Less than $1M,2,Seed
Seed Round - Parásole Socks,https://www.crunchbase.com/funding_round/parásole-socks-seed--3f04a805,Parásole Socks,https://www.crunchbase.com/organization/parásole-socks,Seed,,,,2018-05-01,"E-Commerce, Lifestyle, Wearables","San Francisco, California, United States, North America",,1,Seed
Seed Round - Encarte,https://www.crunchbase.com/funding_round/encarte-seed--fdb379a4,Encarte,https://www.crunchbase.com/organization/encarte,Seed,150000,USD,150000,2019-03-18,"Browser Extensions, E-Commerce, Internet","San Francisco, California, United States, North America",,1,Seed
Seed Round - Borrow,https://www.crunchbase.com/funding_round/prazo-seed--1520705e,Borrow,https://www.crunchbase.com/organization/prazo,Seed,,,,2018-11-01,"Automotive, E-Commerce, Electric Vehicle, Internet of Things, Lifestyle, Subscription Service, Transportation","West Hollywood, California, United States, North America",,5,Seed
Seed Round - Let’s Do This,https://www.crunchbase.com/funding_round/let-s-do-this-seed--d5dc6a38,Let’s Do This,https://www.crunchbase.com/organization/let-s-do-this,Seed,1000000,GBP,1282399,2017-08-22,"E-Commerce, Events, Marketplace, Sports","San Francisco, California, United States, North America",$1M to $10M,5,Early Stage Venture
Convertible Note - HouseStay,https://www.crunchbase.com/funding_round/housestay-convertible-note--6c01b6dc,HouseStay,https://www.crunchbase.com/organization/housestay,Convertible Note,500000,USD,500000,2019-05-08,"E-Commerce, Real Estate, Travel","Los Angeles, California, United States, North America",Less than $1M,2,Seed
Non Equity Assistance - Linc Global,https://www.crunchbase.com/funding_round/linc-global-non-equity-assistance--f410745c,Linc Global,https://www.crunchbase.com/organization/linc-global,Non-equity Assistance,,,,2018-07-09,"Artificial Intelligence, Big Data, Customer Service, E-Commerce, Information Technology, Internet, Machine Learning, Personalization, SaaS, Virtual Assistant","Sunnyvale, California, United States, North America",$1M to $10M,2,
Venture Round - Sourcery Technologies,https://www.crunchbase.com/funding_round/sourcery-series-unknown--b9dce8e1,Sourcery Technologies,https://www.crunchbase.com/organization/sourcery,Venture - Series Unknown,5000000,USD,5000000,2018-05-13,"Analytics, B2B, E-Commerce, E-Commerce Platforms, Financial Services, Food and Beverage, Payments, Restaurants, Wholesale","San Francisco, California, United States, North America",$1M to $10M,7,M&A
Equity Crowdfunding - Digital Brands Group (DBG),https://www.crunchbase.com/funding_round/digital-brands-group-dbg-equity-crowdfunding--ebda099d,Digital Brands Group (DBG),https://www.crunchbase.com/organization/digital-brands-group-dbg,Equity Crowdfunding,1776340,GBP,2306267,2019-01-17,"E-Commerce, Lifestyle","Los Angeles, California, United States, North America",,4,
Convertible Note - Buildingpicks,https://www.crunchbase.com/funding_round/buildingpicks-inc-convertible-note--5f59903e,Buildingpicks,https://www.crunchbase.com/organization/buildingpicks-inc,Convertible Note,,,,2017-11-27,"Construction, E-Commerce","Walnut Creek, California, United States, North America",,1,
Seed Round - Beauty Bakerie Cosmetics Brand,https://www.crunchbase.com/funding_round/beauty-bakerie-cosmetics-brand-seed--6a3c783c,Beauty Bakerie Cosmetics Brand,https://www.crunchbase.com/organization/beauty-bakerie-cosmetics-brand,Seed,3000000,USD,3000000,2017-10-12,"Beauty, Cosmetics, E-Commerce","San Diego, California, United States, North America",$1M to $10M,2,Early Stage Venture
Venture Round - Violet Grey,https://www.crunchbase.com/funding_round/violet-grey-series-unknown--82367f7d,Violet Grey,https://www.crunchbase.com/organization/violet-grey,Venture - Series Unknown,1245001,USD,1245001,2017-09-13,"E-Commerce, Fashion, Retail","Los Angeles, California, United States, North America",$1M to $10M,4,Late Stage Venture
Pre Seed Round - Snackpass,https://www.crunchbase.com/funding_round/snackpass-pre-seed--79f0ed68,Snackpass,https://www.crunchbase.com/organization/snackpass,Pre-Seed,120000,USD,120000,2018-01-04,"Apps, E-Commerce, Food and Beverage, Local, Mobile Apps, Social, Software","San Francisco, California, United States, North America",Less than $1M,3,Early Stage Venture
Venture Round - Beautycounter,https://www.crunchbase.com/funding_round/beautycounter-series-unknown--5e06dad6,Beautycounter,https://www.crunchbase.com/organization/beautycounter,Venture - Series Unknown,65000000,USD,65000000,2018-01-05,"Beauty, Consumer Goods, Cosmetics, E-Commerce, Health Care","Santa Monica, California, United States, North America",Less than $1M,4,
