Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Seed Round - FutureFuel.io,https://www.crunchbase.com/funding_round/futurefuel-seed--ab935a2e,FutureFuel.io,https://www.crunchbase.com/organization/futurefuel,Seed,2900000,USD,2900000,2018-01-01
Funding Round - Rhapsody,https://www.crunchbase.com/funding_round/rhapsody-d949-undisclosed--de763ba8,Rhapsody,https://www.crunchbase.com/organization/rhapsody-d949,Funding Round,6870000,USD,6870000,2018-01-01
Seed Round - RECLAIM (MyA Health),https://www.crunchbase.com/funding_round/reclaim-mya-health-seed--bfc04f11,RECLAIM (MyA Health),https://www.crunchbase.com/organization/reclaim-mya-health,Seed,700000,USD,700000,2018-01-01
Seed Round - 14bis Supply Tracking,https://www.crunchbase.com/funding_round/safeflights-inc-seed--3e1b171b,14bis Supply Tracking,https://www.crunchbase.com/organization/safeflights-inc,Seed,120000,USD,120000,2018-01-01
Seed Round - Tolemi,https://www.crunchbase.com/funding_round/tolemi-seed--29824f9b,Tolemi,https://www.crunchbase.com/organization/tolemi,Seed,3055000,USD,3055000,2018-01-01
Series D - Centrexion,https://www.crunchbase.com/funding_round/centrexion-series-d--0834da90,Centrexion,https://www.crunchbase.com/organization/centrexion,Series D,67000000,USD,67000000,2018-01-02
Grant - Synspira,https://www.crunchbase.com/funding_round/synspira-grant--dc61d2b4,Synspira,https://www.crunchbase.com/organization/synspira,Grant,3000000,USD,3000000,2018-01-03
Series A - Elstar Therapeutics,https://www.crunchbase.com/funding_round/elstar-therapeutics-series-a--1166a391,Elstar Therapeutics,https://www.crunchbase.com/organization/elstar-therapeutics,Series A,39000000,USD,39000000,2018-01-03
Post-IPO Equity - Biostage,https://www.crunchbase.com/funding_round/harvard-apparatus-regenerative-technology-post-ipo-equity--01675a65,Biostage,https://www.crunchbase.com/organization/harvard-apparatus-regenerative-technology,Post-IPO Equity,4200000,USD,4200000,2018-01-03
Series A - Stoke Therapeutics,https://www.crunchbase.com/funding_round/stoke-therapeutics-series-a--9e74574d,Stoke Therapeutics,https://www.crunchbase.com/organization/stoke-therapeutics,Series A,40000000,USD,40000000,2018-01-04
Series A - Generation Bio,https://www.crunchbase.com/funding_round/generation-bio-series-a--d96a0a6b,Generation Bio,https://www.crunchbase.com/organization/generation-bio,Series A,25000000,USD,25000000,2018-01-04
Seed Round - Medumo,https://www.crunchbase.com/funding_round/medumo-2-seed--afc3fcc2,Medumo,https://www.crunchbase.com/organization/medumo-2,Seed,120000,USD,120000,2018-01-04
Private Equity Round - AppNeta,https://www.crunchbase.com/funding_round/appneta-private-equity--30ab2db0,AppNeta,https://www.crunchbase.com/organization/appneta,Private Equity,,,,2018-01-04
Venture Round - Edaris,https://www.crunchbase.com/funding_round/forerun-series-unknown--96519087,Edaris,https://www.crunchbase.com/organization/forerun,Venture - Series Unknown,,,,2018-01-05
Angel Round - Smoc Therapeutics,https://www.crunchbase.com/funding_round/smoc-therapeutics-angel--3430a957,Smoc Therapeutics,https://www.crunchbase.com/organization/smoc-therapeutics,Angel,7500000,USD,7500000,2018-01-08
Seed Round - Avant-garde Health,https://www.crunchbase.com/funding_round/avant-garde-health-seed--4df5592d,Avant-garde Health,https://www.crunchbase.com/organization/avant-garde-health,Seed,4000000,USD,4000000,2018-01-08
Series A - Area9 Lyceum,https://www.crunchbase.com/funding_round/area9-lyceum-series-a--2e0d46e3,Area9 Lyceum,https://www.crunchbase.com/organization/area9-lyceum,Series A,30000000,USD,30000000,2018-01-10
Series A - HelloTeam,https://www.crunchbase.com/funding_round/betterskills-inc-series-a--47c90554,HelloTeam,https://www.crunchbase.com/organization/betterskills-inc,Series A,2700000,USD,2700000,2018-01-10
Venture Round - Benefits Science,https://www.crunchbase.com/funding_round/benefits-science-series-unknown--b04f91d5,Benefits Science,https://www.crunchbase.com/organization/benefits-science,Venture - Series Unknown,,,,2018-01-15
Seed Round - Medumo,https://www.crunchbase.com/funding_round/medumo-2-seed--0d6f4d7c,Medumo,https://www.crunchbase.com/organization/medumo-2,Seed,2000000,USD,2000000,2018-01-15
Corporate Round - Centerity Systems,https://www.crunchbase.com/funding_round/centerity-systems-ltd-corporate-round--180ef2bb,Centerity Systems,https://www.crunchbase.com/organization/centerity-systems-ltd,Corporate Round,10000000,USD,10000000,2018-01-16
Series A - Pandion Therapeutics,https://www.crunchbase.com/funding_round/pandion-therapeutics-series-a--19a158a6,Pandion Therapeutics,https://www.crunchbase.com/organization/pandion-therapeutics,Series A,58000000,USD,58000000,2018-01-17
Angel Round - True-Tickets,https://www.crunchbase.com/funding_round/true-tickets-angel--5e08416e,True-Tickets,https://www.crunchbase.com/organization/true-tickets,Angel,265000,USD,265000,2018-01-19
Pre Seed Round - Inkrypt,https://www.crunchbase.com/funding_round/inkrypt-pre-seed--58d35a1a,Inkrypt,https://www.crunchbase.com/organization/inkrypt,Pre-Seed,200000,USD,200000,2018-01-20
Seed Round - Filtered,https://www.crunchbase.com/funding_round/filtered-2-seed--afc91f81,Filtered,https://www.crunchbase.com/organization/filtered-2,Seed,2875000,USD,2875000,2018-01-22
Convertible Note - Sophia,https://www.crunchbase.com/funding_round/sophia-335f-convertible-note--01f4b30d,Sophia,https://www.crunchbase.com/organization/sophia-335f,Convertible Note,,,,2018-01-22
