Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Industries,Organization Location,Organization Revenue Range,Number of Funding Rounds,Funding Status
Series A - Migo,https://www.crunchbase.com/funding_round/mines-io-series-a--81ccf516,Migo,https://www.crunchbase.com/organization/mines-io,Series A,13000000,USD,13000000,2018-08-10,"Cloud Data Services, Credit, Financial Services, FinTech, Mobile, Payments","San Francisco, California, United States, North America",$1M to $10M,5,Early Stage Venture
Seed Round - Calyx,https://www.crunchbase.com/funding_round/bioinspira-seed--b7be1247,Calyx,https://www.crunchbase.com/organization/bioinspira,Seed,,,,2018-08-10,"Biotechnology, Health Care, Sensor, Transportation","Berkeley, California, United States, North America",Less than $1M,2,Seed
Pre Seed Round - Plural.com,https://www.crunchbase.com/funding_round/plural-pre-seed--fe4c9414,Plural.com,https://www.crunchbase.com/organization/plural,Pre-Seed,50000,USD,50000,2018-08-10,"Consumer Applications, Information Technology, Internet, Marketplace, Professional Networking, Skill Assessment, Social Network, Software","Palo Alto, California, United States, North America",,2,Seed
Seed Round - Tantu.io,https://www.crunchbase.com/funding_round/tantu-io-seed--4413199b,Tantu.io,https://www.crunchbase.com/organization/tantu-io,Seed,,,,2018-08-10,"Blockchain, Cryptocurrency, Financial Services, Payments","San Francisco, California, United States, North America",,1,Seed
Pre Seed Round - Shrimpy,https://www.crunchbase.com/funding_round/benthos-labs-inc-pre-seed--596ad3db,Shrimpy,https://www.crunchbase.com/organization/benthos-labs-inc,Pre-Seed,,,,2018-08-10,"Asset Management, Blockchain, Cryptocurrency, Developer APIs, Finance, Financial Services, FinTech, Internet, Software, Trading Platform","Santa Clara, California, United States, North America",,1,Seed
Series A - Farapulse,https://www.crunchbase.com/funding_round/iowa-approach-series-a--ec1b3e09,Farapulse,https://www.crunchbase.com/organization/iowa-approach,Series A,12000000,USD,12000000,2018-08-10,"Fitness, Health Care, Medical","Menlo Park, California, United States, North America",Less than $1M,5,Early Stage Venture
Venture Round - CareConnectMD,https://www.crunchbase.com/funding_round/careconnectmd-series-unknown--ddb1ceeb,CareConnectMD,https://www.crunchbase.com/organization/careconnectmd,Venture - Series Unknown,1540000,USD,1540000,2018-08-10,"Health Care, Home Health Care","Huntington Beach, California, United States, North America",,1,
Seed Round - CytoStorm,https://www.crunchbase.com/funding_round/cytostorm-seed--404e302d,CytoStorm,https://www.crunchbase.com/organization/cytostorm,Seed,50000,USD,50000,2018-08-10,"Biotechnology, Health Care","Laguna Hills, California, United States, North America",,1,Seed
Venture Round - AltheaDx,https://www.crunchbase.com/funding_round/altheadx-series-unknown--5735fdfd,AltheaDx,https://www.crunchbase.com/organization/altheadx,Venture - Series Unknown,2730000,USD,2730000,2018-08-10,"Biotechnology, Clinical Trials, Genetics, Health Care, Health Diagnostics","San Diego, California, United States, North America",$10M to $50M,8,
Seed Round - Fazit,https://www.crunchbase.com/funding_round/fazit-seed--3cd61a00,Fazit,https://www.crunchbase.com/organization/fazit,Seed,150000,USD,150000,2018-08-10,Information Technology,"Campbell, California, United States, North America",,2,Seed
