Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Industries,Organization Location,Organization Revenue Range,Number of Funding Rounds,Funding Status
Venture Round - Good Parents Inc.,https://www.crunchbase.com/funding_round/good-parents-inc-series-unknown--12e7a614,Good Parents Inc.,https://www.crunchbase.com/organization/good-parents-inc,Venture - Series Unknown,750000,USD,750000,2018-08-11,"Health Care, Health Insurance, Home Health Care, Wellness","San Francisco, California, United States, North America",$1M to $10M,5,
Equity Crowdfunding - Crooru On Demand Healthcare Staffing App,https://www.crunchbase.com/funding_round/crooru-on-demand-healthcare-staffing-app-equity-crowdfunding--d194999e,Crooru On Demand Healthcare Staffing App,https://www.crunchbase.com/organization/crooru-on-demand-healthcare-staffing-app,Equity Crowdfunding,14990,USD,14990,2018-08-11,"Health Care, Internet, Staffing Agency","Laguna Niguel, California, United States, North America",,1,
Seed Round - Revvsales,https://www.crunchbase.com/funding_round/revvsales-seed--4af5c1f6,Revvsales,https://www.crunchbase.com/organization/revvsales,Seed,,,,2018-08-12,"Information Technology, Internet, SaaS, Software","Walnut, California, United States, North America",,2,
Equity Crowdfunding - Altcoin.io,https://www.crunchbase.com/funding_round/altcoin-io-equity-crowdfunding--f7bc7a65,Altcoin.io,https://www.crunchbase.com/organization/altcoin-io,Equity Crowdfunding,,,,2018-08-12,"Blockchain, Financial Services, Information Technology","San Diego, California, United States, North America",,2,M&A
Series B - Farapulse,https://www.crunchbase.com/funding_round/iowa-approach-series-b--18930ad6,Farapulse,https://www.crunchbase.com/organization/iowa-approach,Series B,5000000,USD,5000000,2018-08-13,"Fitness, Health Care, Medical","Menlo Park, California, United States, North America",Less than $1M,5,Early Stage Venture
Secondary Market - Quanergy Systems,https://www.crunchbase.com/funding_round/quanergy-secondary-market--94072ae5,Quanergy Systems,https://www.crunchbase.com/organization/quanergy,Secondary Market,,,,2018-08-13,"3D Technology, Autonomous Vehicles, Information Services, Information Technology, Mapping Services, Navigation, Robotics","Sunnyvale, California, United States, North America",$10M to $50M,6,Late Stage Venture
Seed Round - Slintel,https://www.crunchbase.com/funding_round/slintel-seed--477cd780,Slintel,https://www.crunchbase.com/organization/slintel,Seed,300000,USD,300000,2018-08-13,"Information and Communications Technology (ICT), Information Technology, Marketing Automation, Sales Automation","Santa Clara, California, United States, North America",,3,Seed
Series D - Exabeam,https://www.crunchbase.com/funding_round/exabeam-series-d--dacbf1a8,Exabeam,https://www.crunchbase.com/organization/exabeam,Series D,50000000,USD,50000000,2018-08-14,"Analytics, Big Data, Cyber Security, Enterprise Software, Information Technology, Real Time, Security","Foster City, California, United States, North America",$50M to $100M,5,Late Stage Venture
Series C - Profusa,https://www.crunchbase.com/funding_round/profusa-series-c--88ae6ccd,Profusa,https://www.crunchbase.com/organization/profusa,Series C,45000000,USD,45000000,2018-08-14,"Biotechnology, Health Care, Medical, Medical Device, Personal Health, Wellness","San Francisco, California, United States, North America",$1M to $10M,6,Late Stage Venture
Seed Round - Capillary Biomedical,https://www.crunchbase.com/funding_round/capillary-biomedical-seed--bc468456,Capillary Biomedical,https://www.crunchbase.com/organization/capillary-biomedical,Seed,2885000,USD,2885000,2018-08-14,"Health Care, Medical, Medical Device","Irvine, California, United States, North America",Less than $1M,3,Private Equity
Private Equity Round - AxiaMed,https://www.crunchbase.com/funding_round/axiamed-private-equity--297d4d98,AxiaMed,https://www.crunchbase.com/organization/axiamed,Private Equity,12400000,USD,12400000,2018-08-14,"FinTech, Health Care, Payments, SaaS","Santa Barbara, California, United States, North America",$10M to $50M,2,Private Equity
Series A - DISQO,https://www.crunchbase.com/funding_round/disqo-series-a--a244aa87,DISQO,https://www.crunchbase.com/organization/disqo,Series A,13500000,USD,13500000,2018-08-14,"Analytics, Consumer Research, Information Technology, Market Research","Glendale, California, United States, North America",$1M to $10M,2,Early Stage Venture
Seed Round - BioTrillion,https://www.crunchbase.com/funding_round/biotrillion-seed--9ca214f1,BioTrillion,https://www.crunchbase.com/organization/biotrillion,Seed,1750000,USD,1750000,2018-08-15,"Artificial Intelligence, Health Care, Health Diagnostics, Information Technology, Life Science, Medical, mHealth","San Francisco, California, United States, North America",,1,Seed
Seed Round - Pioneer Fund,https://www.crunchbase.com/funding_round/pioneer-fund-seed--eb1f7a06,Pioneer Fund,https://www.crunchbase.com/organization/pioneer-fund,Seed,,,,2018-08-15,"Finance, Financial Services, Venture Capital","San Francisco, California, United States, North America",,2,Seed
Seed Round - Scanwell Health,https://www.crunchbase.com/funding_round/scanwell-health-seed--fb01832d,Scanwell Health,https://www.crunchbase.com/organization/scanwell-health,Seed,,,,2018-08-15,"Health Care, Medical, Medical Device, Personal Health","Los Angeles, California, United States, North America",Less than $1M,3,Seed
Seed Round - Curebase,https://www.crunchbase.com/funding_round/curebase-seed--ab8da437,Curebase,https://www.crunchbase.com/organization/curebase,Seed,,,,2018-08-15,"Clinical Trials, Health Care, Software","San Francisco, California, United States, North America",Less than $1M,3,
Seed Round - HeyDoctor,https://www.crunchbase.com/funding_round/heydoctor-seed--691a0156,HeyDoctor,https://www.crunchbase.com/organization/heydoctor,Seed,,,,2018-08-15,"Fitness, Health Care, Wellness","San Francisco, California, United States, North America",,3,M&A
Seed Round - Wikipro Inc,https://www.crunchbase.com/funding_round/taxcom-inc-seed--a2705f13,Wikipro Inc,https://www.crunchbase.com/organization/taxcom-inc,Seed,500000,USD,500000,2018-08-15,"Information Technology, Internet, SaaS, Software","City Of Industry, California, United States, North America",,1,Seed
Seed Round - BlueNalu,https://www.crunchbase.com/funding_round/bluenalu-seed--04f67859,BlueNalu,https://www.crunchbase.com/organization/bluenalu,Seed,4500000,USD,4500000,2018-08-15,"Biotechnology, Food and Beverage, Health Care, Medical","San Diego, California, United States, North America",$1M to $10M,3,
Series B - AuditBoard,https://www.crunchbase.com/funding_round/soxhub-series-b--b59e63c3,AuditBoard,https://www.crunchbase.com/organization/soxhub,Series B,40000000,USD,40000000,2018-08-15,"Computer, Information Technology, SaaS, Software","Cerritos, California, United States, North America",$1M to $10M,3,Early Stage Venture
Venture Round - Neurotechnology Investors (NTI),https://www.crunchbase.com/funding_round/neurotechnology-investors-nti-series-unknown--6733d5c8,Neurotechnology Investors (NTI),https://www.crunchbase.com/organization/neurotechnology-investors-nti,Venture - Series Unknown,1145000,USD,1145000,2018-08-15,"Health Care, Neuroscience, Service Industry","Palo Alto, California, United States, North America",,3,
Secondary Market - Centrify,https://www.crunchbase.com/funding_round/centrify-secondary-market--b66d19af,Centrify,https://www.crunchbase.com/organization/centrify,Secondary Market,,,,2018-08-15,"Identity Management, Information Technology, SaaS, Security, Software","Santa Clara, California, United States, North America",$100M to $500M,7,M&A
Venture Round - Verses,https://www.crunchbase.com/funding_round/verses-series-unknown--53989a7d,Verses,https://www.crunchbase.com/organization/verses,Venture - Series Unknown,6000000,USD,6000000,2018-08-15,"Information Services, Information Technology","Los Angeles, California, United States, North America",Less than $1M,1,
Venture Round - HitCheck,https://www.crunchbase.com/funding_round/hitcheck-series-unknown--4c57d6b9,HitCheck,https://www.crunchbase.com/organization/hitcheck,Venture - Series Unknown,,,,2018-08-16,"Health Care, Medical Device, SaaS, Sports","San Francisco, California, United States, North America",Less than $1M,2,
Series A - SFOX,https://www.crunchbase.com/funding_round/sfox-series-a--614a6d3b,SFOX,https://www.crunchbase.com/organization/sfox,Series A,23000000,USD,23000000,2018-08-16,"Bitcoin, Blockchain, Cryptocurrency, Ethereum, FinTech, Trading Platform, Virtual Currency","Los Angeles, California, United States, North America",$1M to $10M,6,Early Stage Venture
Post-IPO Secondary - Symantec,https://www.crunchbase.com/funding_round/symantec-post-ipo-secondary--9867f280,Symantec,https://www.crunchbase.com/organization/symantec,Post-IPO Secondary,670000000,USD,670000000,2018-08-16,"Computer, Cyber Security, Information Technology, Security","Mountain View, California, United States, North America",$500M to $1B,4,M&A
Seed Round - MyLabBox,https://www.crunchbase.com/funding_round/mylabbox-seed--96c04736,MyLabBox,https://www.crunchbase.com/organization/mylabbox,Seed,1560000,USD,1560000,2018-08-16,"E-Commerce, Health Care, Health Diagnostics, Medical","Los Angeles, California, United States, North America",$1M to $10M,4,Seed
Post-IPO Equity - Second Sight,https://www.crunchbase.com/funding_round/second-sight-post-ipo-equity--298cc8e5,Second Sight,https://www.crunchbase.com/organization/second-sight,Post-IPO Equity,5000000,USD,5000000,2018-08-16,"Health Care, Manufacturing, Medical Device","Sylmar, California, United States, North America",Less than $1M,11,IPO
Venture Round - Kalera Medical,https://www.crunchbase.com/funding_round/kalera-medical-series-unknown--5a1ab8b1,Kalera Medical,https://www.crunchbase.com/organization/kalera-medical,Venture - Series Unknown,1602235,USD,1602235,2018-08-16,"Health Care, Medical, Medical Device","Pleasanton, California, United States, North America",,1,
Venture Round - Route 92 Medical,https://www.crunchbase.com/funding_round/route-92-medical-series-unknown--1aa8dba5,Route 92 Medical,https://www.crunchbase.com/organization/route-92-medical,Venture - Series Unknown,4728135,USD,4728135,2018-08-17,"Health Care, Hospital, Medical","San Mateo, California, United States, North America",Less than $1M,4,
Private Equity Round - 360 Behavioral Health,https://www.crunchbase.com/funding_round/360-behavioral-health-private-equity--cc2a8ba7,360 Behavioral Health,https://www.crunchbase.com/organization/360-behavioral-health,Private Equity,,,,2018-08-20,"Health Care, Hospital","Los Angeles, California, United States, North America",,1,Private Equity
Seed Round - HeyDoctor,https://www.crunchbase.com/funding_round/heydoctor-seed--f2334c6a,HeyDoctor,https://www.crunchbase.com/organization/heydoctor,Seed,120000,USD,120000,2018-08-20,"Fitness, Health Care, Wellness","San Francisco, California, United States, North America",,3,M&A
Seed Round - Cloud Workout,https://www.crunchbase.com/funding_round/cloud-workout-seed--0f0a6852,Cloud Workout,https://www.crunchbase.com/organization/cloud-workout,Seed,120000,USD,120000,2018-08-20,"Fitness, Health Care, Wellness","San Francisco, California, United States, North America",,1,Seed
Seed Round - Curebase,https://www.crunchbase.com/funding_round/curebase-seed--16280f2f,Curebase,https://www.crunchbase.com/organization/curebase,Seed,120000,USD,120000,2018-08-20,"Clinical Trials, Health Care, Software","San Francisco, California, United States, North America",Less than $1M,3,
Seed Round - Inscribe,https://www.crunchbase.com/funding_round/inscribe-seed--af564a42,Inscribe,https://www.crunchbase.com/organization/inscribe,Seed,120000,USD,120000,2018-08-20,"B2B, Information Technology, Internet, Software","San Francisco, California, United States, North America",,3,Seed
Seed Round - RDMD,https://www.crunchbase.com/funding_round/rdmd-seed--97170062,RDMD,https://www.crunchbase.com/organization/rdmd,Seed,3130000,USD,3130000,2018-08-20,"Health Care, Medical","San Francisco, California, United States, North America",$1M to $10M,2,Early Stage Venture
Seed Round - Prodigal Technologies,https://www.crunchbase.com/funding_round/prodigal-3824-seed--f291f7da,Prodigal Technologies,https://www.crunchbase.com/organization/prodigal-3824,Seed,120000,USD,120000,2018-08-20,"Finance, Financial Services, Software","Sunnyvale, California, United States, North America",,1,Seed
Seed Round - Abacus,https://www.crunchbase.com/funding_round/abacusfi-seed--58029c1f,Abacus,https://www.crunchbase.com/organization/abacusfi,Seed,120000,USD,120000,2018-08-20,"Blockchain, Finance, Financial Services, FinTech","San Francisco, California, United States, North America",,2,Seed
Venture Round - AcuFocus,https://www.crunchbase.com/funding_round/acufocus-series-unknown--975c39f9,AcuFocus,https://www.crunchbase.com/organization/acufocus,Venture - Series Unknown,23974000,USD,23974000,2018-08-20,"Health Care, Medical, Medical Device","Irvine, California, United States, North America",,12,
Seed Round - Kinside,https://www.crunchbase.com/funding_round/kinside-seed--08a4ddae,Kinside,https://www.crunchbase.com/organization/kinside,Seed,1300000,USD,1300000,2018-08-20,"Child Care, Information Services, Information Technology","San Francisco, California, United States, North America",$1M to $10M,2,Seed
Seed Round - TangoTrade,https://www.crunchbase.com/funding_round/tangotrade-seed--7561de4e,TangoTrade,https://www.crunchbase.com/organization/tangotrade,Seed,,,,2018-08-20,"B2B, FinTech, Payments","Palo Alto, California, United States, North America",,2,Seed
Seed Round - Goodly,https://www.crunchbase.com/funding_round/goodly-seed--2481f15f,Goodly,https://www.crunchbase.com/organization/goodly,Seed,120000,USD,120000,2018-08-20,"Employee Benefits, FinTech, Human Resources","San Francisco, California, United States, North America",,2,Seed
Seed Round - FlexSpace,https://www.crunchbase.com/funding_round/flexspace-seed--06b3cd25,FlexSpace,https://www.crunchbase.com/organization/flexspace,Seed,,,,2018-08-20,"Human Resources, Information Technology, Internet, Software","San Francisco, California, United States, North America",,1,Seed
Private Equity Round - California Psychcare,https://www.crunchbase.com/funding_round/california-psychcare-private-equity--15bb21ac,California Psychcare,https://www.crunchbase.com/organization/california-psychcare,Private Equity,,,,2018-08-20,Health Care,"Van Nuys, California, United States, North America",Less than $1M,1,Private Equity
Seed Round - Trusted Health,https://www.crunchbase.com/funding_round/trusted-health-seed--51847482,Trusted Health,https://www.crunchbase.com/organization/trusted-health,Seed,4000000,USD,4000000,2018-08-21,"Employment, Health Care, Human Resources, Lifestyle, Staffing Agency","San Francisco, California, United States, North America",$1M to $10M,3,Early Stage Venture
Series B - Robin.io,https://www.crunchbase.com/funding_round/robin-systems-series-b--a26af821,Robin.io,https://www.crunchbase.com/organization/robin-systems,Series B,20000000,USD,20000000,2018-08-21,"Data Center, Enterprise Applications, Enterprise Software, Information Technology, Infrastructure","San Jose, California, United States, North America",$1M to $10M,5,Early Stage Venture
Seed Round - RealtyBits,https://www.crunchbase.com/funding_round/realtybits-palo-alto-calfornia-seed--0268e01e,RealtyBits,https://www.crunchbase.com/organization/realtybits-palo-alto-calfornia,Seed,,,,2018-08-21,"Blockchain, Commercial Real Estate, Finance, Real Estate, Real Estate Investment","Palo Alto, California, United States, North America",,1,Seed
Venture Round - Miroculus,https://www.crunchbase.com/funding_round/miroculus-series-unknown--85e9e3a1,Miroculus,https://www.crunchbase.com/organization/miroculus,Venture - Series Unknown,17211364,USD,17211364,2018-08-21,"Biotechnology, Health Care, Health Diagnostics, Information Technology","San Francisco, California, United States, North America",$1M to $10M,6,
Series B - Semmle,https://www.crunchbase.com/funding_round/semmle-series-b--3c31b1e4,Semmle,https://www.crunchbase.com/organization/semmle,Series B,21000000,USD,21000000,2018-08-21,"Business Intelligence, Enterprise Software, Information and Communications Technology (ICT), Information Technology, Software, Software Engineering","San Francisco, California, United States, North America",$1M to $10M,3,M&A
Private Equity Round - Integrated Prescription Management,https://www.crunchbase.com/funding_round/integrated-prescription-management-private-equity--9c3fff54,Integrated Prescription Management,https://www.crunchbase.com/organization/integrated-prescription-management,Private Equity,,,,2018-08-21,"Health Care, Medical","Fresno, California, United States, North America",,1,Private Equity
Seed Round - Modern Treasury,https://www.crunchbase.com/funding_round/modern-treasury-seed--883861f2,Modern Treasury,https://www.crunchbase.com/organization/modern-treasury,Seed,,,,2018-08-22,"Banking, Finance, FinTech, Payments","San Francisco, California, United States, North America",$1M to $10M,2,Early Stage Venture
"Venture Round - Tactus Technology, Inc",https://www.crunchbase.com/funding_round/tactus-technology-series-unknown--593e41a6,"Tactus Technology, Inc",https://www.crunchbase.com/organization/tactus-technology,Venture - Series Unknown,1099999,USD,1099999,2018-08-22,"Computer, Consumer Electronics, Human Computer Interaction, Information Technology, Manufacturing, Software","Hayward, California, United States, North America",$1M to $10M,7,
Secondary Market - One Medical,https://www.crunchbase.com/funding_round/one-medical-group-secondary-market--1f1a1d54,One Medical,https://www.crunchbase.com/organization/one-medical-group,Secondary Market,130000000,USD,130000000,2018-08-22,"Family, Health Care, Medical, mHealth, Mobile Apps","San Francisco, California, United States, North America",$50M to $100M,11,IPO
Private Equity Round - Amerit Fleet Solutions,https://www.crunchbase.com/funding_round/amerit-fleet-solutions-private-equity--7c8c7b2c,Amerit Fleet Solutions,https://www.crunchbase.com/organization/amerit-fleet-solutions,Private Equity,,,,2018-08-22,"Automotive, CRM, Information Technology","Walnut Creek, California, United States, North America",$100M to $500M,1,Private Equity
Venture Round - AlterG,https://www.crunchbase.com/funding_round/alterg-series-unknown--2f39c45f,AlterG,https://www.crunchbase.com/organization/alterg,Venture - Series Unknown,5593903,USD,5593903,2018-08-22,"Health Care, Medical Device","Fremont, California, United States, North America",$10M to $50M,9,
Private Equity Round - One Medical,https://www.crunchbase.com/funding_round/one-medical-group-private-equity--a42e9afe,One Medical,https://www.crunchbase.com/organization/one-medical-group,Private Equity,220000000,USD,220000000,2018-08-22,"Family, Health Care, Medical, mHealth, Mobile Apps","San Francisco, California, United States, North America",$50M to $100M,11,IPO
Seed Round - Rain Neuromorphics,https://www.crunchbase.com/funding_round/rain-neuromorphics-seed--93013598,Rain Neuromorphics,https://www.crunchbase.com/organization/rain-neuromorphics,Seed,5000000,USD,5000000,2018-08-23,"Artificial Intelligence, Information Technology","Redwood City, California, United States, North America",Less than $1M,2,Seed
Venture Round - Revvsales,https://www.crunchbase.com/funding_round/revvsales-series-unknown--bd5dec81,Revvsales,https://www.crunchbase.com/organization/revvsales,Venture - Series Unknown,1999999,USD,1999999,2018-08-23,"Information Technology, Internet, SaaS, Software","Walnut, California, United States, North America",,2,
Seed Round - Rain Neuromorphics,https://www.crunchbase.com/funding_round/rain-neuromorphics-seed--8c400560,Rain Neuromorphics,https://www.crunchbase.com/organization/rain-neuromorphics,Seed,,,,2018-08-23,"Artificial Intelligence, Information Technology","Redwood City, California, United States, North America",Less than $1M,2,Seed
Series A - FalaFreud,https://www.crunchbase.com/funding_round/falafreud-series-a--0e06bf01,FalaFreud,https://www.crunchbase.com/organization/falafreud,Series A,,,,2018-08-23,"Apps, Fitness, Health Care, Psychology, Wellness","San Francisco, California, United States, North America",,1,Early Stage Venture
Seed Round - Femtosense,https://www.crunchbase.com/funding_round/femtosense-seed--a45ed174,Femtosense,https://www.crunchbase.com/organization/femtosense,Seed,1125000,USD,1125000,2018-08-23,"Information Technology, Software","Palo Alto, California, United States, North America",,1,Seed
Series A - Armory,https://www.crunchbase.com/funding_round/armory-series-a--22554bb2,Armory,https://www.crunchbase.com/organization/armory,Series A,10000000,USD,10000000,2018-08-23,"Cloud Computing, Cloud Infrastructure, Enterprise Applications, Enterprise Software, Information Technology, Internet, SaaS, Software","San Mateo, California, United States, North America",$1M to $10M,4,Early Stage Venture
Series C - Upgrade,https://www.crunchbase.com/funding_round/upgrade-series-c--4bccc672,Upgrade,https://www.crunchbase.com/organization/upgrade,Series C,62000000,USD,62000000,2018-08-23,"Credit, Financial Services, FinTech, Lending, Software","San Francisco, California, United States, North America",$10M to $50M,4,Late Stage Venture
Venture Round - CIONIC,https://www.crunchbase.com/funding_round/cionic-series-unknown--8b9a42d1,CIONIC,https://www.crunchbase.com/organization/cionic,Venture - Series Unknown,3000000,USD,3000000,2018-08-24,"Information Technology, Software","San Francisco, California, United States, North America",,1,
Seed Round - Piccolo Medical,https://www.crunchbase.com/funding_round/piccolo-medical-seed--d4401df1,Piccolo Medical,https://www.crunchbase.com/organization/piccolo-medical,Seed,2302967,USD,2302967,2018-08-24,"Health Care, Hospital, Medical Device","San Francisco, California, United States, North America",,1,Seed
Venture Round - AgeX Therapeutics,https://www.crunchbase.com/funding_round/agex-therapeutics-series-unknown--726a1117,AgeX Therapeutics,https://www.crunchbase.com/organization/agex-therapeutics,Venture - Series Unknown,5200000,USD,5200000,2018-08-24,"Biotechnology, Health Care, Therapeutics","Alameda, California, United States, North America",Less than $1M,5,IPO
Debt Financing - PaymentClub,https://www.crunchbase.com/funding_round/paymentclub-inc-debt-financing--b2c534d7,PaymentClub,https://www.crunchbase.com/organization/paymentclub-inc,Debt Financing,5000000,USD,5000000,2018-08-26,"E-Commerce, Financial Services","Garden Grove, California, United States, North America",Less than $1M,1,
Seed Round - Tesorio,https://www.crunchbase.com/funding_round/tesorio-seed--eed7b156,Tesorio,https://www.crunchbase.com/organization/tesorio,Seed,6902965,USD,6902965,2018-08-27,"Finance, Financial Services, Marketing Automation, Software","Burlingame, California, United States, North America",Less than $1M,4,Early Stage Venture
Seed Round - Littlefund,https://www.crunchbase.com/funding_round/littlefund-seed--a8d38d5d,Littlefund,https://www.crunchbase.com/organization/littlefund,Seed,,,,2018-08-27,"Banking, Financial Services, FinTech, Personal Finance","San Francisco, California, United States, North America",$1M to $10M,3,Seed
"Seed Round - BrainChild Innovation, LLC",https://www.crunchbase.com/funding_round/brainchild-innovation-llc-seed--e6b428cc,"BrainChild Innovation, LLC",https://www.crunchbase.com/organization/brainchild-innovation-llc,Seed,3000,USD,3000,2018-08-27,"Artificial Intelligence, Information Technology, Software","Oakland, California, United States, North America",,1,Seed
Series A - Bellwether Coffee,https://www.crunchbase.com/funding_round/bellwether-coffee-series-a--47a57c02,Bellwether Coffee,https://www.crunchbase.com/organization/bellwether-coffee,Series A,10000000,USD,10000000,2018-08-27,"Coffee, Commercial, Food and Beverage, Information Technology, Software","Berkeley, California, United States, North America",$1M to $10M,3,Early Stage Venture
Series B - Deserve,https://www.crunchbase.com/funding_round/deserve-series-b--b6dfa40d,Deserve,https://www.crunchbase.com/organization/deserve,Series B,17000000,USD,17000000,2018-08-27,"Big Data, Credit Cards, Financial Services, FinTech, Internet, Mobile Payments","Menlo Park, California, United States, North America",$1M to $10M,7,Late Stage Venture
Seed Round - Borsetta,https://www.crunchbase.com/funding_round/borsetta-seed--328a65bb,Borsetta,https://www.crunchbase.com/organization/borsetta,Seed,,,,2018-08-27,"Information Technology, Supply Chain Management","San Francisco, California, United States, North America",,1,Seed
Post-IPO Equity - Obalon Therapeutics,https://www.crunchbase.com/funding_round/obalon-therapeutics-post-ipo-equity--199f3923,Obalon Therapeutics,https://www.crunchbase.com/organization/obalon-therapeutics,Post-IPO Equity,10000000,USD,10000000,2018-08-27,"Health Care, Medical, Therapeutics","Carlsbad, California, United States, North America",Less than $1M,12,IPO
Venture Round - EQIS,https://www.crunchbase.com/funding_round/eqis-series-unknown--71c9f481,EQIS,https://www.crunchbase.com/organization/eqis,Venture - Series Unknown,500000,USD,500000,2018-08-28,"Cloud Computing, Financial Services, Wealth Management","San Rafael, California, United States, North America",$1M to $10M,3,
Pre Seed Round - Convolytics,https://www.crunchbase.com/funding_round/convolytics-pre-seed--4199fe01,Convolytics,https://www.crunchbase.com/organization/convolytics,Pre-Seed,50000,USD,50000,2018-08-28,"Computer, Education, Information Technology, Robotics, Software","San Francisco, California, United States, North America",,2,Seed
"Venture Round - VEP Healthcare, Inc",https://www.crunchbase.com/funding_round/vep-healthcare-inc-series-unknown--132dabd1,"VEP Healthcare, Inc",https://www.crunchbase.com/organization/vep-healthcare-inc,Venture - Series Unknown,2296439,USD,2296439,2018-08-28,"Emergency Medicine, Health Care, Medical","Concord, California, United States, North America",$1M to $10M,1,
Seed Round - Sonant Corporation,https://www.crunchbase.com/funding_round/sonant-corporation-seed--0555df64,Sonant Corporation,https://www.crunchbase.com/organization/sonant-corporation,Seed,142800,USD,142800,2018-08-28,"Computer, Information Technology","San Diego, California, United States, North America",,1,Seed
Series D - Outset Medical,https://www.crunchbase.com/funding_round/outset-medical-series-d--4b13e0ac,Outset Medical,https://www.crunchbase.com/organization/outset-medical,Series D,132000000,USD,132000000,2018-08-28,"Health Care, Health Diagnostics, Medical, Medical Device","San Jose, California, United States, North America",$10M to $50M,7,Late Stage Venture
Series B - Liquid I.V,https://www.crunchbase.com/funding_round/liquid-i-v-series-b--618e469a,Liquid I.V,https://www.crunchbase.com/organization/liquid-i-v,Series B,5000000,USD,5000000,2018-08-28,"Food and Beverage, Health Care, Nutrition, Wellness","Marina Del Rey, California, United States, North America",$10M to $50M,2,
Pre Seed Round - Trimwire,https://www.crunchbase.com/funding_round/trimwire-pre-seed--e40338c3,Trimwire,https://www.crunchbase.com/organization/trimwire,Pre-Seed,350000,USD,350000,2018-08-28,"B2B, Financial Services, FinTech, Information Technology, SaaS","Mountain View, California, United States, North America",,2,Seed
Series A - Sempre Health,https://www.crunchbase.com/funding_round/sempre-health-series-a--5a5defb6,Sempre Health,https://www.crunchbase.com/organization/sempre-health,Series A,8000000,USD,8000000,2018-08-29,"Health Care, Hospital, Medical","San Francisco, California, United States, North America",$1M to $10M,3,Early Stage Venture
Equity Crowdfunding - NowRx,https://www.crunchbase.com/funding_round/nowrx-equity-crowdfunding--93d1df17,NowRx,https://www.crunchbase.com/organization/nowrx,Equity Crowdfunding,,,,2018-08-29,"Health Care, Pharmaceutical, Retail","Mountain View, California, United States, North America",$1M to $10M,8,
