Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Industries,Organization Location,Organization Revenue Range,Number of Funding Rounds,Funding Status
Seed Round - De-Ice,https://www.crunchbase.com/funding_round/de-ice-seed--96eae715,De-Ice,https://www.crunchbase.com/organization/de-ice,Seed,3000000,USD,3000000,2017-07-19,"Aerospace, Chemical, Electronics, Information Technology","Somerville, Massachusetts, United States, North America",,4,Seed
Post-IPO Debt - Sarepta Therapeutics,https://www.crunchbase.com/funding_round/sarepta-therapeutics-post-ipo-debt--c86aaf63,Sarepta Therapeutics,https://www.crunchbase.com/organization/sarepta-therapeutics,Post-IPO Debt,100000000,USD,100000000,2017-07-19,"Biotechnology, Genetics, Health Care, Therapeutics","Cambridge, Massachusetts, United States, North America",$50M to $100M,5,IPO
Venture Round - Ixcela,https://www.crunchbase.com/funding_round/counterpoint-health-solutions-series-unknown--a9dd4ae3,Ixcela,https://www.crunchbase.com/organization/counterpoint-health-solutions,Venture - Series Unknown,1815000,USD,1815000,2017-07-20,"Biotechnology, Health Care, Medical","Bedford, Massachusetts, United States, North America",Less than $1M,2,
Seed Round - Novopyxis,https://www.crunchbase.com/funding_round/novopyxis-seed--91cf561e,Novopyxis,https://www.crunchbase.com/organization/novopyxis,Seed,512932,USD,512932,2017-07-21,"Biotechnology, Health Care, Medical, Therapeutics","Cambridge, Massachusetts, United States, North America",Less than $1M,2,Seed
Seed Round - JumpStart Fertility,https://www.crunchbase.com/funding_round/jumpstart-fertility-seed--bece3bc9,JumpStart Fertility,https://www.crunchbase.com/organization/jumpstart-fertility,Seed,500000,USD,500000,2017-07-21,"Consulting, Health Care","Chestnut Hill, Massachusetts, United States, North America",,1,Seed
Series A - Circulation,https://www.crunchbase.com/funding_round/circulation-series-a--1a1db43e,Circulation,https://www.crunchbase.com/organization/circulation,Series A,10500000,USD,10500000,2017-07-25,"Emergency Medicine, Health Care, Home Health Care, Transportation","Boston, Massachusetts, United States, North America",,1,M&A
Venture Round - Radial Analytics,https://www.crunchbase.com/funding_round/radial-analytics-series-unknown--8cda8735,Radial Analytics,https://www.crunchbase.com/organization/radial-analytics,Venture - Series Unknown,625002,USD,625002,2017-07-25,"Analytics, Health Care","Cambridge, Massachusetts, United States, North America",Less than $1M,3,
Series A - Signature Medical,https://www.crunchbase.com/funding_round/signature-medical-series-a--b7dc01aa,Signature Medical,https://www.crunchbase.com/organization/signature-medical,Series A,2500000,USD,2500000,2017-07-26,"Health Care, Medical Device, Wearables","Boston, Massachusetts, United States, North America",,1,Early Stage Venture
Venture Round - Lightforce Orthodontics,https://www.crunchbase.com/funding_round/signature-orthodontics-bbdf-series-unknown--457590b1,Lightforce Orthodontics,https://www.crunchbase.com/organization/signature-orthodontics-bbdf,Venture - Series Unknown,1380000,USD,1380000,2017-07-26,"3D Printing, Advanced Materials, Dental, Health Care","Boston, Massachusetts, United States, North America",,3,
Series C - DataRobot,https://www.crunchbase.com/funding_round/datarobot-series-c--e664829f,DataRobot,https://www.crunchbase.com/organization/datarobot,Series C,67180000,USD,67180000,2017-07-27,"Artificial Intelligence, Enterprise Software, Information Technology, Machine Learning, Predictive Analytics, Robotics, SaaS","Boston, Massachusetts, United States, North America",$50M to $100M,7,Late Stage Venture
Seed Round - Rational Vaccines,https://www.crunchbase.com/funding_round/rational-vaccines-seed--f61c9274,Rational Vaccines,https://www.crunchbase.com/organization/rational-vaccines,Seed,,,,2017-08-01,"Biotechnology, Health Care, Pharmaceutical","Cambridge, Massachusetts, United States, North America",Less than $1M,3,
Series B - Homology Medicines,https://www.crunchbase.com/funding_round/homology-medicines-series-b--465dd2eb,Homology Medicines,https://www.crunchbase.com/organization/homology-medicines,Series B,83500000,USD,83500000,2017-08-01,"Alternative Medicine, Biotechnology, Genetics, Health Care","Lexington, Massachusetts, United States, North America",Less than $1M,2,IPO
Seed Round - Humon,https://www.crunchbase.com/funding_round/humon-seed--5aa86146,Humon,https://www.crunchbase.com/organization/humon,Seed,1500000,USD,1500000,2017-08-01,"Consumer Electronics, Health Care, Sensor, Wearables","Cambridge, Massachusetts, United States, North America",Less than $1M,4,Seed
Seed Round - Penn Haven,https://www.crunchbase.com/funding_round/penn-haven-llc-seed--05a4ebbe,Penn Haven,https://www.crunchbase.com/organization/penn-haven-llc,Seed,,,,2017-08-01,"Finance, Software, Venture Capital","Boston, Massachusetts, United States, North America",,1,Seed
Series A - Wasabi Technologies,https://www.crunchbase.com/funding_round/wasabi-technologies-inc-series-a--9487f372,Wasabi Technologies,https://www.crunchbase.com/organization/wasabi-technologies-inc,Series A,,,,2017-08-01,"Cloud Computing, Cloud Data Services, Cloud Storage, Database, Information Technology, Internet","Boston, Massachusetts, United States, North America",$1M to $10M,8,
Series B - Wasabi Technologies,https://www.crunchbase.com/funding_round/wasabi-technologies-inc-series-b--c5aa92da,Wasabi Technologies,https://www.crunchbase.com/organization/wasabi-technologies-inc,Series B,10800000,USD,10800000,2017-08-02,"Cloud Computing, Cloud Data Services, Cloud Storage, Database, Information Technology, Internet","Boston, Massachusetts, United States, North America",$1M to $10M,8,
Seed Round - Day Zero Diagnostics,https://www.crunchbase.com/funding_round/day-zero-diagnostics-seed--a1fca1e0,Day Zero Diagnostics,https://www.crunchbase.com/organization/day-zero-diagnostics,Seed,3000000,USD,3000000,2017-08-03,"Health Care, Health Diagnostics, Medical Device","Allston, Massachusetts, United States, North America",,4,Early Stage Venture
Venture Round - FMS ENA Home,https://www.crunchbase.com/funding_round/fms-ena-home-series-unknown--1e17b322,FMS ENA Home,https://www.crunchbase.com/organization/fms-ena-home,Venture - Series Unknown,1001925,USD,1001925,2017-08-04,Health Care,"Waltham, Massachusetts, United States, North America",,1,
Venture Round - L.E.A.F. Pharmaceuticals,https://www.crunchbase.com/funding_round/l-e-a-f-pharmaceuticals-series-unknown--6b9c728a,L.E.A.F. Pharmaceuticals,https://www.crunchbase.com/organization/l-e-a-f-pharmaceuticals,Venture - Series Unknown,40400000,USD,40400000,2017-08-07,"Biotechnology, Health Care, Innovation Management, Pharmaceutical","Woburn, Massachusetts, United States, North America",Less than $1M,1,
Series A - Buoy Health,https://www.crunchbase.com/funding_round/buoy-health-series-a--391b3392,Buoy Health,https://www.crunchbase.com/organization/buoy-health,Series A,6700000,USD,6700000,2017-08-09,"Apps, Health Care, Information Technology, Internet","Boston, Massachusetts, United States, North America",$1M to $10M,4,Early Stage Venture
Venture Round - eXIthera Pharmaceuticals,https://www.crunchbase.com/funding_round/exithera-pharmaceuticals-series-unknown--745ebde3,eXIthera Pharmaceuticals,https://www.crunchbase.com/organization/exithera-pharmaceuticals,Venture - Series Unknown,,,,2017-08-10,"Genetics, Health Care, Medical, Pharmaceutical","Westborough, Massachusetts, United States, North America",Less than $1M,4,
Post-IPO Equity - Alere,https://www.crunchbase.com/funding_round/alere-post-ipo-equity--6989340c,Alere,https://www.crunchbase.com/organization/alere,Post-IPO Equity,,,,2017-08-14,"Health Care, Health Diagnostics, Medical, Therapeutics","Waltham, Massachusetts, United States, North America",$1B to $10B,4,M&A
Grant - Binx Health,https://www.crunchbase.com/funding_round/binx-health-grant--94a17a4b,Binx Health,https://www.crunchbase.com/organization/binx-health,Grant,2000000,GBP,2573578,2017-08-15,"Biotechnology, Health Care, Health Diagnostics, Medical Device, Mobile","Boston, Massachusetts, United States, North America",$10M to $50M,6,Late Stage Venture
Debt Financing - Torpedo Diagnostics,https://www.crunchbase.com/funding_round/torpedo-diagnostics-debt-financing--2e339576,Torpedo Diagnostics,https://www.crunchbase.com/organization/torpedo-diagnostics,Debt Financing,2000000,USD,2000000,2017-08-16,"Biotechnology, Health Care, Medical","Cambridge, Massachusetts, United States, North America",Less than $1M,1,
Venture Round - Fresenius Medical Care Hamlin,https://www.crunchbase.com/funding_round/fresenius-medical-care-hamlin-series-unknown--473f4675,Fresenius Medical Care Hamlin,https://www.crunchbase.com/organization/fresenius-medical-care-hamlin,Venture - Series Unknown,2448468,USD,2448468,2017-08-16,"Health Care, Medical, Medical Device","Waltham, Massachusetts, United States, North America",,1,
Funding Round - GO Therapeutics,https://www.crunchbase.com/funding_round/go-therapeutics-undisclosed--117048d5,GO Therapeutics,https://www.crunchbase.com/organization/go-therapeutics,Funding Round,5000000,USD,5000000,2017-08-17,"Biotechnology, Health Care, Pharmaceutical","Cambridge, Massachusetts, United States, North America",$1M to $10M,1,
Seed Round - Elsen,https://www.crunchbase.com/funding_round/elsen-trading-seed--37196008,Elsen,https://www.crunchbase.com/organization/elsen-trading,Seed,,,,2017-08-17,"FinTech, Hedge Funds","Boston, Massachusetts, United States, North America",$1M to $10M,6,Seed
Seed Round - CareAcademy,https://www.crunchbase.com/funding_round/care-academy-seed--38bb06b6,CareAcademy,https://www.crunchbase.com/organization/care-academy,Seed,1700000,USD,1700000,2017-08-18,"Education, Health Care, Home Health Care, Training","Cambridge, Massachusetts, United States, North America",$1M to $10M,7,Seed
Seed Round - HelixNano,https://www.crunchbase.com/funding_round/helixnano-seed--4d3aa420,HelixNano,https://www.crunchbase.com/organization/helixnano,Seed,120000,USD,120000,2017-08-21,"Artificial Intelligence, Biotechnology, Genetics, Health Care","Cambridge, Massachusetts, United States, North America",Less than $1M,3,Seed
Venture Round - REBIScan,https://www.crunchbase.com/funding_round/rebiscan-series-unknown--a3123149,REBIScan,https://www.crunchbase.com/organization/rebiscan,Venture - Series Unknown,2161036,USD,2161036,2017-08-22,"Analytics, Health Care, Medical Device","Boston, Massachusetts, United States, North America",Less than $1M,3,
Venture Round - GNS Healthcare,https://www.crunchbase.com/funding_round/gns-healthcare-series-unknown--3082cb0f,GNS Healthcare,https://www.crunchbase.com/organization/gns-healthcare,Venture - Series Unknown,6000000,USD,6000000,2017-08-23,"Analytics, Big Data, Bioinformatics, Genetics, Health Care","Cambridge, Massachusetts, United States, North America",$1M to $10M,10,Late Stage Venture
Seed Round - Apic Bio,https://www.crunchbase.com/funding_round/apic-bio-seed--dc77c1ff,Apic Bio,https://www.crunchbase.com/organization/apic-bio,Seed,1000000,USD,1000000,2017-08-23,"Biotechnology, Health Care, Life Science, Pharmaceutical","Cambridge, Massachusetts, United States, North America",,3,Early Stage Venture
Post-IPO Equity - Precision Optics,https://www.crunchbase.com/funding_round/precision-optics-post-ipo-equity--a1e451c7,Precision Optics,https://www.crunchbase.com/organization/precision-optics,Post-IPO Equity,250000,USD,250000,2017-08-25,"Hardware, Health Care","Gardner, Massachusetts, United States, North America",$1M to $10M,4,IPO
Angel Round - Textician,https://www.crunchbase.com/funding_round/textician-angel--5a62a7a5,Textician,https://www.crunchbase.com/organization/textician,Angel,,,,2017-08-25,"Artificial Intelligence, Health Care, Machine Learning, Natural Language Processing, PaaS","Cambridge, Massachusetts, United States, North America",Less than $1M,2,Seed
Seed Round - LogRocket,https://www.crunchbase.com/funding_round/logrocket-seed--9c1b2482,LogRocket,https://www.crunchbase.com/organization/logrocket,Seed,4000000,USD,4000000,2017-08-28,"Information Services, Information Technology, Network Security, Software, UX Design, Video","Boston, Massachusetts, United States, North America",$1M to $10M,3,Early Stage Venture
Venture Round - Access Vascular,https://www.crunchbase.com/funding_round/access-vascular-series-unknown--dca2eea9,Access Vascular,https://www.crunchbase.com/organization/access-vascular,Venture - Series Unknown,3774000,USD,3774000,2017-08-28,"Advanced Materials, Health Care, Medical Device, Product Management","Bedford, Massachusetts, United States, North America",Less than $1M,5,
Grant - VocaliD,https://www.crunchbase.com/funding_round/vocalid-grant--8ddcb32c,VocaliD,https://www.crunchbase.com/organization/vocalid,Grant,1200000,USD,1200000,2017-09-01,"Artificial Intelligence, Information Services, Information Technology","Boston, Massachusetts, United States, North America",Less than $1M,8,
Series C - Saphena Medical,https://www.crunchbase.com/funding_round/saphena-medical-series-c--1bffcd30,Saphena Medical,https://www.crunchbase.com/organization/saphena-medical,Series C,1312000,USD,1312000,2017-09-01,"Health Care, Medical, Medical Device","West Bridgewater, Massachusetts, United States, North America",$1M to $10M,5,Late Stage Venture
Grant - Synaps Labs,https://www.crunchbase.com/funding_round/synaps-labs-grant--cd5d6844,Synaps Labs,https://www.crunchbase.com/organization/synaps-labs,Grant,,,,2017-09-01,"Ad Targeting, Advertising, Digital Signage, Information Technology, Marketing, Outdoor Advertising, SaaS, Software","Cambridge, Massachusetts, United States, North America",,3,
Grant - ReviveMed,https://www.crunchbase.com/funding_round/revivemed-grant--7252a5e0,ReviveMed,https://www.crunchbase.com/organization/revivemed,Grant,,,,2017-09-01,"Artificial Intelligence, Biotechnology, Health Care, Wellness","Cambridge, Massachusetts, United States, North America",,2,Seed
Seed Round - Tamarin Health,https://www.crunchbase.com/funding_round/tamarin-health-seed--b976b104,Tamarin Health,https://www.crunchbase.com/organization/tamarin-health,Seed,880000,USD,880000,2017-09-01,"Blockchain, Electronic Health Record (EHR), Enterprise Software, Health Care, Home Health Care, Medical, Personal Health","Brighton, Massachusetts, United States, North America",Less than $1M,2,Seed
Grant - Accure Health,https://www.crunchbase.com/funding_round/accure-health-grant--d8af6882,Accure Health,https://www.crunchbase.com/organization/accure-health,Grant,,,,2017-09-01,"Health Care, Health Diagnostics, Intelligent Systems, Medical","Cambridge, Massachusetts, United States, North America",,2,Seed
Grant - NeuroMesh,https://www.crunchbase.com/funding_round/neuromesh-grant--537d8df5,NeuroMesh,https://www.crunchbase.com/organization/neuromesh,Grant,,,,2017-09-01,"Computer, Cyber Security, Information Technology, Messaging, Security","Cambridge, Massachusetts, United States, North America",,1,
Seed Round - 50skills,https://www.crunchbase.com/funding_round/50skills-seed--40dcd96a,50skills,https://www.crunchbase.com/organization/50skills,Seed,,,,2017-09-01,"Enterprise Software, Human Resources, Information Technology, Recruiting, Software","Cambridge, Massachusetts, United States, North America",,1,Seed
Grant - Sophia,https://www.crunchbase.com/funding_round/sophia-335f-grant--638bcf8b,Sophia,https://www.crunchbase.com/organization/sophia-335f,Grant,,,,2017-09-01,"Consulting, Health Care, Human Resources, Medical, Psychology","Boston, Massachusetts, United States, North America",,2,
Post-IPO Equity - Minerva Neuroscience,https://www.crunchbase.com/funding_round/minerva-neuroscience-post-ipo-equity--9ba471eb,Minerva Neuroscience,https://www.crunchbase.com/organization/minerva-neuroscience,Post-IPO Equity,4190000,USD,4190000,2017-09-02,"Biopharma, Health Care, Neuroscience","Cambridge, Massachusetts, United States, North America",,5,IPO
Series B - Entasis Therapeutics,https://www.crunchbase.com/funding_round/entasis-therapeutics-series-b--92768fc0,Entasis Therapeutics,https://www.crunchbase.com/organization/entasis-therapeutics,Series B,31900000,USD,31900000,2017-09-05,"Health Care, Medical, Pharmaceutical","Waltham, Massachusetts, United States, North America",$1M to $10M,4,IPO
Venture Round - Rational Vaccines,https://www.crunchbase.com/funding_round/rational-vaccines-series-unknown--f1664fc6,Rational Vaccines,https://www.crunchbase.com/organization/rational-vaccines,Venture - Series Unknown,8248749,USD,8248749,2017-09-05,"Biotechnology, Health Care, Pharmaceutical","Cambridge, Massachusetts, United States, North America",Less than $1M,3,
Series B - WuXi NextCODE,https://www.crunchbase.com/funding_round/nextcode-health-series-b--edf6d00f,WuXi NextCODE,https://www.crunchbase.com/organization/nextcode-health,Series B,165000000,USD,165000000,2017-09-05,"Big Data, Bioinformatics, Biotechnology, Genetics, Health Care, Health Diagnostics","Cambridge, Massachusetts, United States, North America",$10M to $50M,4,M&A
Venture Round - RANE (Risk Assistance Network + Exchange),https://www.crunchbase.com/funding_round/rane-risk-assistance-network-exchange-series-unknown--22548db0,RANE (Risk Assistance Network + Exchange),https://www.crunchbase.com/organization/rane-risk-assistance-network-exchange,Venture - Series Unknown,2746000,USD,2746000,2017-09-07,"Information Services, Information Technology","Boston, Massachusetts, United States, North America",Less than $1M,1,
Series B - Replimune Group,https://www.crunchbase.com/funding_round/replimune-series-b--dc5e5425,Replimune Group,https://www.crunchbase.com/organization/replimune,Series B,55000000,USD,55000000,2017-09-08,"Health Care, Medical, Therapeutics","Woburn, Massachusetts, United States, North America",$1M to $10M,3,IPO
Seed Round - Censinet,https://www.crunchbase.com/funding_round/censinet-seed--a7c50a80,Censinet,https://www.crunchbase.com/organization/censinet,Seed,2000000,USD,2000000,2017-09-08,"Health Care, Information Technology, Risk Management, Supply Chain Management","Boston, Massachusetts, United States, North America",Less than $1M,3,Early Stage Venture
Non Equity Assistance - Pine Health,https://www.crunchbase.com/funding_round/pine-health-non-equity-assistance--40ad9507,Pine Health,https://www.crunchbase.com/organization/pine-health,Non-equity Assistance,,,,2017-09-09,"Health Care, Messaging, Personal Health","Cambridge, Massachusetts, United States, North America",,1,
Non Equity Assistance - Bloomer Health Tech,https://www.crunchbase.com/funding_round/bloomer-tech-non-equity-assistance--7069cd25,Bloomer Health Tech,https://www.crunchbase.com/organization/bloomer-tech,Non-equity Assistance,,,,2017-09-09,"Analytics, Biometrics, Health Care, Information Technology, Personal Health, Robotics","Cambridge, Massachusetts, United States, North America",,2,Seed
Seed Round - ThePerfectV,https://www.crunchbase.com/funding_round/theperfectv-seed--461481ef,ThePerfectV,https://www.crunchbase.com/organization/theperfectv,Seed,99000,USD,99000,2017-09-11,"Beauty, Health Care, Women's","Boston, Massachusetts, United States, North America",,2,Seed
Venture Round - Nasuni,https://www.crunchbase.com/funding_round/nasuni-series-unknown--635b7701,Nasuni,https://www.crunchbase.com/organization/nasuni,Venture - Series Unknown,38000000,USD,38000000,2017-09-12,"Cloud Data Services, Cloud Storage, Data Storage, Enterprise Software, File Sharing, Information Technology, SaaS","Boston, Massachusetts, United States, North America",$10M to $50M,10,
Series A - Joyn Bio,https://www.crunchbase.com/funding_round/joyn-bio-series-a--32835e16,Joyn Bio,https://www.crunchbase.com/organization/joyn-bio,Series A,100000000,USD,100000000,2017-09-14,"Agriculture, Biotechnology, Environmental Consulting, Health Care","Boston, Massachusetts, United States, North America",$1M to $10M,2,Early Stage Venture
Venture Round - NeoView,https://www.crunchbase.com/funding_round/neoview-series-unknown--1025c035,NeoView,https://www.crunchbase.com/organization/neoview,Venture - Series Unknown,5799993,USD,5799993,2017-09-14,"Health Care, Hospital","Andover, Massachusetts, United States, North America",,1,
Seed Round - Synspira,https://www.crunchbase.com/funding_round/synspira-seed--f2d53545,Synspira,https://www.crunchbase.com/organization/synspira,Seed,8240942,USD,8240942,2017-09-14,"Biotechnology, Information Technology, Therapeutics","Boston, Massachusetts, United States, North America",,2,Seed
Seed Round - Assette,https://www.crunchbase.com/funding_round/assette-seed--dc1aa006,Assette,https://www.crunchbase.com/organization/assette,Seed,500000,USD,500000,2017-09-15,"Computer, Financial Services, Software","Boston, Massachusetts, United States, North America",$1M to $10M,1,Seed
Series A - LifeMine Therapeutics,https://www.crunchbase.com/funding_round/lifemine-therapeutics-series-a--20cbfd12,LifeMine Therapeutics,https://www.crunchbase.com/organization/lifemine-therapeutics,Series A,55000000,USD,55000000,2017-09-18,"Health Care, Health Diagnostics, Life Science, Therapeutics","Cambridge, Massachusetts, United States, North America",Less than $1M,1,Early Stage Venture
Series C - Rodin Therapeutics,https://www.crunchbase.com/funding_round/rodin-therapeutics-series-c--d4fefaf0,Rodin Therapeutics,https://www.crunchbase.com/organization/rodin-therapeutics,Series C,27000000,USD,27000000,2017-09-18,"Biotechnology, Health Care, Therapeutics","Cambridge, Massachusetts, United States, North America",,4,M&A
Series A - Disarm Therapeutics,https://www.crunchbase.com/funding_round/disarm-therapeutics-series-a--fae39632,Disarm Therapeutics,https://www.crunchbase.com/organization/disarm-therapeutics,Series A,30000000,USD,30000000,2017-09-19,"Health Care, Health Diagnostics, Hospital, Therapeutics","Cambridge, Massachusetts, United States, North America",$1M to $10M,1,Early Stage Venture
Seed Round - Suono Bio,https://www.crunchbase.com/funding_round/suono-bio-seed--f085a4f2,Suono Bio,https://www.crunchbase.com/organization/suono-bio,Seed,,,,2017-09-19,"Health Care, Medical, Medical Device","Cambridge, Massachusetts, United States, North America",Less than $1M,2,
Venture Round - Velico Medical,https://www.crunchbase.com/funding_round/velico-medical-series-unknown--4cd35354,Velico Medical,https://www.crunchbase.com/organization/velico-medical,Venture - Series Unknown,19000000,USD,19000000,2017-09-19,"Delivery, Health Care, Medical","Beverly, Massachusetts, United States, North America",$50M to $100M,1,
Pre Seed Round - Kytopen,https://www.crunchbase.com/funding_round/kytopen-pre-seed--2b6db705,Kytopen,https://www.crunchbase.com/organization/kytopen,Pre-Seed,,,,2017-09-19,"Biotechnology, Genetics, Health Care, Life Science","Cambridge, Massachusetts, United States, North America",,2,Seed
Grant - BioSensics,https://www.crunchbase.com/funding_round/biosensics-grant--8025949e,BioSensics,https://www.crunchbase.com/organization/biosensics,Grant,2500000,USD,2500000,2017-09-20,"Clinical Trials, Health Care, Medical, Medical Device","Watertown, Massachusetts, United States, North America",$1M to $10M,1,
Venture Round - Seventh Sense Biosystems,https://www.crunchbase.com/funding_round/seventh-sense-biosystems-series-unknown--adff6a6d,Seventh Sense Biosystems,https://www.crunchbase.com/organization/seventh-sense-biosystems,Venture - Series Unknown,2500000,USD,2500000,2017-09-20,"Biotechnology, Health Care, Health Diagnostics","Cambridge, Massachusetts, United States, North America",$1M to $10M,17,
