Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Industries,Organization Location,Organization Revenue Range,Number of Funding Rounds,Funding Status
Grant - Aldatu Biosciences,https://www.crunchbase.com/funding_round/aldatu-biosciences-grant--09b7201f,Aldatu Biosciences,https://www.crunchbase.com/organization/aldatu-biosciences,Grant,200000,USD,200000,2017-06-28,"Biotechnology, Health Care, Medical","Boston, Massachusetts, United States, North America",Less than $1M,5,
Venture Round - CleanBreak,https://www.crunchbase.com/funding_round/cleanbreak-series-unknown--5f9bc3c3,CleanBreak,https://www.crunchbase.com/organization/cleanbreak,Venture - Series Unknown,2000000,USD,2000000,2017-06-28,"Biotechnology, Health Care","Boston, Massachusetts, United States, North America",$10M to $50M,1,
Series A - Medically Home,https://www.crunchbase.com/funding_round/the-medically-home-series-a--da644036,Medically Home,https://www.crunchbase.com/organization/the-medically-home,Series A,14035000,USD,14035000,2017-06-29,"Fitness, Health Care, Virtual Reality, Wellness","Boston, Massachusetts, United States, North America",Less than $1M,2,Early Stage Venture
Venture Round - LifeYield,https://www.crunchbase.com/funding_round/lifeyield-series-unknown--1eda8376,LifeYield,https://www.crunchbase.com/organization/lifeyield,Venture - Series Unknown,,,,2017-06-30,"Enterprise Software, Financial Services, Insurance, Software, Wealth Management","Boston, Massachusetts, United States, North America",$1M to $10M,2,
Grant - VocaliD,https://www.crunchbase.com/funding_round/vocalid-grant--2b5feb29,VocaliD,https://www.crunchbase.com/organization/vocalid,Grant,100000,USD,100000,2017-07-01,"Artificial Intelligence, Information Services, Information Technology","Boston, Massachusetts, United States, North America",Less than $1M,8,
Funding Round - Catch,https://www.crunchbase.com/funding_round/catchco-undisclosed--45f10c09,Catch,https://www.crunchbase.com/organization/catchco,Funding Round,1000,USD,1000,2017-07-01,"FinTech, Freelance, Health Insurance, Insurance, Personal Finance, Retirement, Wealth Management","Boston, Massachusetts, United States, North America",,3,Seed
Seed Round - Profility,https://www.crunchbase.com/funding_round/profility-seed--10d539df,Profility,https://www.crunchbase.com/organization/profility,Seed,,,,2017-07-01,"Health Care, Life Science","Boston, Massachusetts, United States, North America",$1M to $10M,3,
Seed Round - Smilo,https://www.crunchbase.com/funding_round/smilo-seed--a17b9163,Smilo,https://www.crunchbase.com/organization/smilo,Seed,1250000,USD,1250000,2017-07-02,"Baby, Consumer Goods, Health Care, Wellness","Wayland, Massachusetts, United States, North America",$1M to $10M,4,Early Stage Venture
Angel Round - Affect,https://www.crunchbase.com/funding_round/affect-angel--ac06fd9b,Affect,https://www.crunchbase.com/organization/affect,Angel,25000,USD,25000,2017-07-05,"Fitness, Health Care, Non Profit, Wellness","Boston, Massachusetts, United States, North America",,1,Seed
Seed Round - Activ Surgical,https://www.crunchbase.com/funding_round/omniboros-seed--ba839058,Activ Surgical,https://www.crunchbase.com/organization/omniboros,Seed,1500000,USD,1500000,2017-07-06,"Artificial Intelligence, Health Care, Machine Learning, Medical Device, Robotics","Boston, Massachusetts, United States, North America",$1M to $10M,3,Early Stage Venture
Grant - Insightfil,https://www.crunchbase.com/funding_round/insightfil-grant--003c4658,Insightfil,https://www.crunchbase.com/organization/insightfil,Grant,5840,USD,5840,2017-07-07,"Health Care, Personal Health","Boston, Massachusetts, United States, North America",,9,
Series C - Allurion Technologies,https://www.crunchbase.com/funding_round/allurion-technologies-series-c--12aa521a,Allurion Technologies,https://www.crunchbase.com/organization/allurion-technologies,Series C,27000000,USD,27000000,2017-07-11,"Health Care, Medical Device, Therapeutics","Wellesley, Massachusetts, United States, North America",$10M to $50M,7,
Venture Round - SavingStar,https://www.crunchbase.com/funding_round/savingstar-series-unknown--ad829a99,SavingStar,https://www.crunchbase.com/organization/savingstar,Venture - Series Unknown,1400000,USD,1400000,2017-07-12,"Advertising, E-Commerce, FinTech, Retail, Shopping","Waltham, Massachusetts, United States, North America",$1M to $10M,7,
Series B - Wellframe,https://www.crunchbase.com/funding_round/wellframe-series-b--db32c2dc,Wellframe,https://www.crunchbase.com/organization/wellframe,Series B,15000000,USD,15000000,2017-07-12,"Health Care, Lifestyle, Wellness","Boston, Massachusetts, United States, North America",$1M to $10M,6,Late Stage Venture
"Grant - Energetic Insurance, Inc.",https://www.crunchbase.com/funding_round/energetic-insurance-inc-grant--dec81825,"Energetic Insurance, Inc.",https://www.crunchbase.com/organization/energetic-insurance-inc,Grant,800000,USD,800000,2017-07-12,"Big Data, FinTech, Insurance, InsurTech, Renewable Energy, Risk Management, Solar","Boston, Massachusetts, United States, North America",Less than $1M,6,Seed
Seed Round - CATALOG,https://www.crunchbase.com/funding_round/catalog-technologies-seed--08160107,CATALOG,https://www.crunchbase.com/organization/catalog-technologies,Seed,5000000,USD,5000000,2017-07-12,"Data Storage, Information Services, Information Technology","Boston, Massachusetts, United States, North America",$1M to $10M,3,Seed
Venture Round - Respiratory Motion,https://www.crunchbase.com/funding_round/respiratory-motion-series-unknown--a5b7d78b,Respiratory Motion,https://www.crunchbase.com/organization/respiratory-motion,Venture - Series Unknown,,,,2017-07-13,"Health Care, Medical Device","Waltham, Massachusetts, United States, North America",Less than $1M,13,
Venture Round - HealthEdge,https://www.crunchbase.com/funding_round/healthedge-software-series-unknown--69d2e2bf,HealthEdge,https://www.crunchbase.com/organization/healthedge-software,Venture - Series Unknown,34000000,USD,34000000,2017-07-14,"Enterprise Software, Health Care, Product Design, Software","Burlington, Massachusetts, United States, North America",$10M to $50M,6,M&A
Venture Round - Punchbowl,https://www.crunchbase.com/funding_round/mypunchbowl-series-unknown--aeb1278e,Punchbowl,https://www.crunchbase.com/organization/mypunchbowl,Venture - Series Unknown,4000000,USD,4000000,2017-07-17,"Enterprise Software, Events, Information Technology, SaaS, Software, Video","Framingham, Massachusetts, United States, North America",$1M to $10M,7,
Venture Round - Angiex,https://www.crunchbase.com/funding_round/angiex-series-unknown--17f4b536,Angiex,https://www.crunchbase.com/organization/angiex,Venture - Series Unknown,2880022,USD,2880022,2017-07-17,"Health Care, Therapeutics","Cambridge, Massachusetts, United States, North America",,2,
Seed Round - Embark Veterinary,https://www.crunchbase.com/funding_round/embark-veterinary-seed--040b012d,Embark Veterinary,https://www.crunchbase.com/organization/embark-veterinary,Seed,4500000,USD,4500000,2017-07-18,"Animal Feed, Biotechnology, Genetics, Health Care, Pet, Veterinary","Boston, Massachusetts, United States, North America",$1M to $10M,4,Early Stage Venture
