Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Seed Round - Glidian,https://www.crunchbase.com/funding_round/glidian-seed--e1f0a975,Glidian,https://www.crunchbase.com/organization/glidian,Seed,,,,2018-02-28
Series D - Collective Health,https://www.crunchbase.com/funding_round/collectivehealth-series-d--19a80441,Collective Health,https://www.crunchbase.com/organization/collectivehealth,Series D,110000000,USD,110000000,2018-02-28
Angel Round - Supportiv,https://www.crunchbase.com/funding_round/supportiv-angel--ac9b2737,Supportiv,https://www.crunchbase.com/organization/supportiv,Angel,250000,USD,250000,2018-02-28
Series A - Tagnos,https://www.crunchbase.com/funding_round/tagnos-series-a--a34aaf0a,Tagnos,https://www.crunchbase.com/organization/tagnos,Series A,5500000,USD,5500000,2018-02-28
Series A - Griddable,https://www.crunchbase.com/funding_round/griddable-io-series-a--b4eb586a,Griddable,https://www.crunchbase.com/organization/griddable-io,Series A,8000000,USD,8000000,2018-02-28
Seed Round - TaqTik Health,https://www.crunchbase.com/funding_round/taqtik-health-seed--90041012,TaqTik Health,https://www.crunchbase.com/organization/taqtik-health,Seed,1000000,USD,1000000,2018-03-01
Venture Round - Affinity,https://www.crunchbase.com/funding_round/affinity-inc-series-unknown--4177406e,Affinity,https://www.crunchbase.com/organization/affinity-inc,Venture - Series Unknown,,,,2018-03-01
Pre Seed Round - Galley Solutions,https://www.crunchbase.com/funding_round/galley-solutions-pre-seed--a7c493de,Galley Solutions,https://www.crunchbase.com/organization/galley-solutions,Pre-Seed,675000,USD,675000,2018-03-01
Convertible Note - TEGA Therapeutics,https://www.crunchbase.com/funding_round/tega-therapeutics-convertible-note--cccb24dd,TEGA Therapeutics,https://www.crunchbase.com/organization/tega-therapeutics,Convertible Note,,,,2018-03-01
Seed Round - Big Boy Systems,https://www.crunchbase.com/funding_round/big-boy-systems-seed--eddcc03b,Big Boy Systems,https://www.crunchbase.com/organization/big-boy-systems,Seed,,,,2018-03-01
Convertible Note - Caption Health,https://www.crunchbase.com/funding_round/bay-labs-inc-convertible-note--abba0d58,Caption Health,https://www.crunchbase.com/organization/bay-labs-inc,Convertible Note,,,,2018-03-01
Seed Round - EvoShare,https://www.crunchbase.com/funding_round/evoshare-seed--e5cb9918,EvoShare,https://www.crunchbase.com/organization/evoshare,Seed,,,,2018-03-01
Series A - Coalition,https://www.crunchbase.com/funding_round/coalition-535d-series-a--10642776,Coalition,https://www.crunchbase.com/organization/coalition-535d,Series A,10000000,USD,10000000,2018-03-01
Series A - Woebot Labs,https://www.crunchbase.com/funding_round/woebot-labs-series-a--f7b68c62,Woebot Labs,https://www.crunchbase.com/organization/woebot-labs,Series A,8000000,USD,8000000,2018-03-01
